A,AISC_name,EDI_Std_Nomenclature,H,Ix,Iy,Sx,Sy,T_F,Type,W,Zx,Zy,b,b_t,d,ro,rx,ry,t,y,yp
4.8,2L4X4X5/16X3/8,2L4X4X5/16X3/8,0.84,7.34,15.4,2.54,3.68,F,2L,16.4,4.52,6.23,4,12.8,4,2.37,1.24,1.79,0.313,1.11,0.3
3.86,2L4X4X1/4,2L4X4X1/4,0.824,6,10.5,2.06,2.62,F,2L,13.2,3.64,4.17,4,16,4,2.28,1.25,1.65,0.25,1.08,0.241
3.86,2L4X4X1/4X3/8,2L4X4X1/4X3/8,0.838,6,12.2,2.06,2.91,F,2L,13.2,3.64,4.89,4,16,4,2.37,1.25,1.78,0.25,1.08,0.241
3.86,2L4X4X1/4X3/4,2L4X4X1/4X3/4,0.851,6,14.1,2.06,3.22,F,2L,13.2,3.64,5.62,4,16,4,2.48,1.25,1.91,0.25,1.08,0.241
6.5,2L3-1/2X3-1/2X1/2,2L3-1/2X3-1/2X1/2,0.838,7.26,14.4,2.96,4.11,F,2L,22.2,5.32,6.82,3.5,7,3.5,1.99,1.05,1.49,0.5,1.05,0.464
6.5,2L3-1/2X3-1/2X1/2X3/8,2L3-1/2X3-1/2X1/2X3/8,0.854,7.26,17.3,2.96,4.69,F,2L,22.2,5.32,8.04,3.5,7,3.5,2.1,1.05,1.63,0.5,1.05,0.464
6.5,2L3-1/2X3-1/2X1/2X3/4,2L3-1/2X3-1/2X1/2X3/4,0.869,7.26,20.4,2.96,5.26,F,2L,22.2,5.32,9.26,3.5,7,3.5,2.21,1.05,1.77,0.5,1.05,0.464
5.78,2L3-1/2X3-1/2X7/16,2L3-1/2X3-1/2X7/16,0.835,6.5,12.7,2.64,3.63,F,2L,19.6,4.72,5.95,3.5,7.99,3.5,1.99,1.06,1.48,0.438,1.03,0.413
5.78,2L3-1/2X3-1/2X7/16X3/8,2L3-1/2X3-1/2X7/16X3/8,0.851,6.5,15,2.64,4.07,F,2L,19.6,4.72,7.04,3.5,7.99,3.5,2.09,1.06,1.61,0.438,1.03,0.413
5.78,2L3-1/2X3-1/2X7/16X3/4,2L3-1/2X3-1/2X7/16X3/4,0.866,6.5,17.9,2.64,4.62,F,2L,19.6,4.72,8.12,3.5,7.99,3.5,2.21,1.06,1.76,0.438,1.03,0.413
5,2L3-1/2X3-1/2X3/8,2L3-1/2X3-1/2X3/8,0.832,5.72,10.8,2.3,3.09,F,2L,17,4.12,5,3.5,9.33,3.5,1.99,1.07,1.47,0.375,1,0.357
5,2L3-1/2X3-1/2X3/8X3/8,2L3-1/2X3-1/2X3/8X3/8,0.848,5.72,12.8,2.3,3.47,F,2L,17,4.12,5.94,3.5,9.33,3.5,2.09,1.07,1.6,0.375,1,0.357
5,2L3-1/2X3-1/2X3/8X3/4,2L3-1/2X3-1/2X3/8X3/4,0.863,5.72,15.1,2.3,3.9,F,2L,17,4.12,6.88,3.5,9.33,3.5,2.2,1.07,1.74,0.375,1,0.357
4.2,2L3-1/2X3-1/2X5/16,2L3-1/2X3-1/2X5/16,0.829,4.88,8.95,1.94,2.56,F,2L,14.4,3.48,4.11,3.5,11.2,3.5,1.99,1.08,1.46,0.313,0.979,0.3
4.2,2L3-1/2X3-1/2X5/16X3/8,2L3-1/2X3-1/2X5/16X3/8,0.845,4.88,10.6,1.94,2.87,F,2L,14.4,3.48,4.9,3.5,11.2,3.5,2.09,1.08,1.59,0.313,0.979,0.3
4.2,2L3-1/2X3-1/2X5/16X3/4,2L3-1/2X3-1/2X5/16X3/4,0.86,4.88,12.6,1.94,3.25,F,2L,14.4,3.48,5.69,3.5,11.2,3.5,2.2,1.08,1.73,0.313,0.979,0.3
3.4,2L3-1/2X3-1/2X1/4X3/8,2L3-1/2X3-1/2X1/4X3/8,0.842,4,8.38,1.57,2.27,F,2L,11.6,2.82,3.88,3.5,14,3.5,2.08,1.09,1.57,0.25,0.954,0.243
3.4,2L3-1/2X3-1/2X1/4,2L3-1/2X3-1/2X1/4,0.826,4,7.05,1.57,2.01,F,2L,11.6,2.82,3.24,3.5,14,3.5,1.99,1.09,1.44,0.25,0.954,0.243
3.4,2L3-1/2X3-1/2X1/4X3/4,2L3-1/2X3-1/2X1/4X3/4,0.857,4,10.1,1.57,2.61,F,2L,11.6,2.82,4.52,3.5,14,3.5,2.19,1.09,1.72,0.25,0.954,0.243
5.52,2L3X3X1/2,2L3X3X1/2,0.842,4.4,9.19,2.12,3.06,F,2L,18.8,3.82,5.13,3,6,3,1.71,0.895,1.29,0.5,0.929,0.46
5.52,2L3X3X1/2X3/8,2L3X3X1/2X3/8,0.861,4.4,11.3,2.12,3.55,F,2L,18.8,3.82,6.16,3,6,3,1.82,0.895,1.43,0.5,0.929,0.46
5.52,2L3X3X1/2X3/4,2L3X3X1/2X3/4,0.878,4.4,13.8,2.12,4.09,F,2L,18.8,3.82,7.2,3,6,3,1.94,0.895,1.58,0.5,0.929,0.46
4.86,2L3X3X7/16,2L3X3X7/16,0.838,3.96,7.96,1.89,2.65,F,2L,16.6,3.4,4.41,3,6.85,3,1.71,0.903,1.28,0.438,0.907,0.405
4.86,2L3X3X7/16X3/8,2L3X3X7/16X3/8,0.857,3.96,9.8,1.89,3.07,F,2L,16.6,3.4,5.32,3,6.85,3,1.82,0.903,1.42,0.438,0.907,0.405
4.86,2L3X3X7/16X3/4,2L3X3X7/16X3/4,0.874,3.96,12,1.89,3.56,F,2L,16.6,3.4,6.23,3,6.85,3,1.94,0.903,1.57,0.438,0.907,0.405
4.22,2L3X3X3/8,2L3X3X3/8,0.834,3.5,6.81,1.65,2.27,F,2L,14.4,2.96,3.73,3,8,3,1.71,0.91,1.27,0.375,0.884,0.352
3.56,2L3X3X5/16X3/8,2L3X3X5/16X3/8,0.849,3,6.88,1.4,2.16,F,2L,12.2,2.52,3.73,3,9.58,3,1.81,0.918,1.39,0.313,0.86,0.297
3.56,2L3X3X5/16,2L3X3X5/16,0.83,3,5.65,1.4,1.88,F,2L,12.2,2.52,3.06,3,9.58,3,1.71,0.918,1.26,0.313,0.86,0.297
4.22,2L3X3X3/8X3/4,2L3X3X3/8X3/4,0.87,3.5,10.1,1.65,2.99,F,2L,14.4,2.96,5.31,3,8,3,1.93,0.91,1.55,0.375,0.884,0.352
4.22,2L3X3X3/8X3/8,2L3X3X3/8X3/8,0.853,3.5,8.39,1.65,2.63,F,2L,14.4,2.96,4.52,3,8,3,1.81,0.91,1.41,0.375,0.884,0.352
2.88,2L3X3X1/4X3/8,2L3X3X1/4X3/8,0.845,2.46,5.48,1.14,1.72,F,2L,9.8,2.04,2.95,3,12,3,1.81,0.926,1.38,0.25,0.836,0.24
2.88,2L3X3X1/4X3/4,2L3X3X1/4X3/4,0.863,2.46,6.65,1.14,1.97,F,2L,9.8,2.04,3.49,3,12,3,1.92,0.926,1.52,0.25,0.836,0.24
2.88,2L3X3X1/4,2L3X3X1/4,0.827,2.46,4.5,1.14,1.5,F,2L,9.8,2.04,2.41,3,12,3,1.71,0.926,1.25,0.25,0.836,0.24
3.56,2L3X3X5/16X3/4,2L3X3X5/16X3/4,0.866,3,8.44,1.4,2.5,F,2L,12.2,2.52,4.4,3,9.58,3,1.93,0.918,1.54,0.313,0.86,0.297
2.18,2L3X3X3/16X3/4,2L3X3X3/16X3/4,0.859,1.9,4.97,0.866,1.47,F,2L,7.42,1.55,2.59,3,16,3,1.91,0.933,1.51,0.188,0.812,0.182
2.18,2L3X3X3/16,2L3X3X3/16,0.823,1.9,3.35,0.866,1.12,F,2L,7.42,1.55,1.77,3,16,3,1.71,0.933,1.24,0.188,0.812,0.182
4.52,2L2-1/2X2-1/2X1/2,2L2-1/2X2-1/2X1/2,0.85,2.44,5.37,1.43,2.15,F,2L,15.4,2.58,3.63,2.5,5,2.5,1.43,0.735,1.09,0.5,0.803,0.452
4.52,2L2-1/2X2-1/2X1/2X3/8,2L2-1/2X2-1/2X1/2X3/8,0.871,2.44,6.84,1.43,2.55,F,2L,15.4,2.58,4.48,2.5,5,2.5,1.54,0.735,1.23,0.5,0.803,0.452
4.52,2L2-1/2X2-1/2X1/2X3/4,2L2-1/2X2-1/2X1/2X3/4,0.89,2.44,8.73,1.43,3.04,F,2L,15.4,2.58,5.32,2.5,5,2.5,1.67,0.735,1.39,0.5,0.803,0.452
3.46,2L2-1/2X2-1/2X3/8,2L2-1/2X2-1/2X3/8,0.839,1.94,3.96,1.12,1.58,F,2L,11.8,2.02,2.62,2.5,6.67,2.5,1.42,0.749,1.07,0.375,0.758,0.346
2.18,2L3X3X3/16X3/8,2L3X3X3/16X3/8,0.842,1.9,4.09,0.866,1.28,F,2L,7.42,1.55,2.18,3,16,3,1.8,0.933,1.37,0.188,0.812,0.182
3.46,2L2-1/2X2-1/2X3/8X3/4,2L2-1/2X2-1/2X3/8X3/4,0.881,1.94,6.4,1.12,2.23,F,2L,11.8,2.02,3.92,2.5,6.67,2.5,1.65,0.749,1.36,0.375,0.758,0.346
2.92,2L2-1/2X2-1/2X5/16,2L2-1/2X2-1/2X5/16,0.834,1.67,3.22,0.948,1.29,F,2L,10,1.71,2.15,2.5,7.99,2.5,1.42,0.756,1.05,0.313,0.735,0.292
3.46,2L2-1/2X2-1/2X3/8X3/8,2L2-1/2X2-1/2X3/8X3/8,0.861,1.94,5.07,1.12,1.89,F,2L,11.8,2.02,3.27,2.5,6.67,2.5,1.53,0.749,1.21,0.375,0.758,0.346
2.92,2L2-1/2X2-1/2X5/16X3/8,2L2-1/2X2-1/2X5/16X3/8,0.856,1.67,4.14,0.948,1.54,F,2L,10,1.71,2.69,2.5,7.99,2.5,1.53,0.756,1.19,0.313,0.735,0.292
2.92,2L2-1/2X2-1/2X5/16X3/4,2L2-1/2X2-1/2X5/16X3/4,0.876,1.67,5.24,0.948,1.82,F,2L,10,1.71,3.24,2.5,7.99,2.5,1.65,0.756,1.34,0.313,0.735,0.292
2.38,2L2-1/2X2-1/2X1/4,2L2-1/2X2-1/2X1/4,0.829,1.38,2.57,0.774,1.03,F,2L,8.2,1.39,1.69,2.5,10,2.5,1.42,0.764,1.04,0.25,0.711,0.238
2.38,2L2-1/2X2-1/2X1/4X3/8,2L2-1/2X2-1/2X1/4X3/8,0.852,1.38,3.31,0.774,1.23,F,2L,8.2,1.39,2.14,2.5,10,2.5,1.52,0.764,1.18,0.25,0.711,0.238
1.8,2L2-1/2X2-1/2X3/16,2L2-1/2X2-1/2X3/16,0.825,1.07,1.91,0.59,0.764,F,2L,6.14,1.06,1.24,2.5,13.3,2.5,1.42,0.771,1.03,0.188,0.687,0.18
1.8,2L2-1/2X2-1/2X3/16X3/8,2L2-1/2X2-1/2X3/16X3/8,0.847,1.07,2.46,0.59,0.915,F,2L,6.14,1.06,1.58,2.5,13.3,2.5,1.52,0.771,1.17,0.188,0.687,0.18
2.38,2L2-1/2X2-1/2X1/4X3/4,2L2-1/2X2-1/2X1/4X3/4,0.872,1.38,4.21,0.774,1.46,F,2L,8.2,1.39,2.58,2.5,10,2.5,1.64,0.764,1.33,0.25,0.711,0.238
1.8,2L2-1/2X2-1/2X3/16X3/4,2L2-1/2X2-1/2X3/16X3/4,0.868,1.07,3.09,0.59,1.07,F,2L,6.14,1.06,1.91,2.5,13.3,2.5,1.63,0.771,1.31,0.188,0.687,0.18
2.74,2L2X2X3/8,2L2X2X3/8,0.847,0.952,2.05,0.696,1.02,F,2L,9.4,1.26,1.73,2,5.33,2,1.14,0.591,0.865,0.375,0.632,0.343
2.74,2L2X2X3/8X3/8,2L2X2X3/8X3/8,0.874,0.952,2.8,0.696,1.28,F,2L,9.4,1.26,2.25,2,5.33,2,1.25,0.591,1.01,0.375,0.632,0.343
2.74,2L2X2X3/8X3/4,2L2X2X3/8X3/4,0.897,0.952,3.75,0.696,1.58,F,2L,9.4,1.26,2.76,2,5.33,2,1.38,0.591,1.17,0.375,0.632,0.343
2.32,2L2X2X5/16,2L2X2X5/16,0.841,0.828,1.69,0.596,0.845,F,2L,7.84,1.07,1.41,2,6.39,2,1.14,0.598,0.853,0.313,0.609,0.29
2.32,2L2X2X5/16X3/8,2L2X2X5/16X3/8,0.868,0.828,2.3,0.596,1.05,F,2L,7.84,1.07,1.85,2,6.39,2,1.25,0.598,0.996,0.313,0.609,0.29
2.32,2L2X2X5/16X3/4,2L2X2X5/16X3/4,0.891,0.828,3.07,0.596,1.29,F,2L,7.84,1.07,2.28,2,6.39,2,1.37,0.598,1.15,0.313,0.609,0.29
1.89,2L2X2X1/4,2L2X2X1/4,0.835,0.692,1.34,0.488,0.67,F,2L,6.38,0.88,1.11,2,8,2,1.13,0.605,0.842,0.25,0.586,0.236
1.89,2L2X2X1/4X3/8,2L2X2X1/4X3/8,0.862,0.692,1.82,0.488,0.832,F,2L,6.38,0.88,1.46,2,8,2,1.24,0.605,0.982,0.25,0.586,0.236
1.44,2L2X2X3/16,2L2X2X3/16,0.83,0.542,0.994,0.376,0.497,F,2L,4.88,0.676,0.81,2,10.6,2,1.13,0.612,0.831,0.188,0.561,0.181
1.89,2L2X2X1/4X3/4,2L2X2X1/4X3/4,0.886,0.692,2.46,0.488,1.04,F,2L,6.38,0.88,1.81,2,8,2,1.37,0.605,1.14,0.25,0.586,0.236
1.44,2L2X2X3/16X3/8,2L2X2X3/16X3/8,0.857,0.542,1.35,0.376,0.617,F,2L,4.88,0.676,1.08,2,10.6,2,1.24,0.612,0.967,0.188,0.561,0.181
1.44,2L2X2X3/16X3/4,2L2X2X3/16X3/4,0.882,0.542,1.81,0.376,0.762,F,2L,4.88,0.676,1.35,2,10.6,2,1.36,0.612,1.12,0.188,0.561,0.181
0.982,2L2X2X1/8,2L2X2X1/8,0.826,0.378,0.657,0.258,0.328,F,2L,3.3,0.46,0.524,2,16,2,1.13,0.62,0.818,0.125,0.534,0.123
0.982,2L2X2X1/8X3/8,2L2X2X1/8X3/8,0.853,0.378,0.888,0.258,0.406,F,2L,3.3,0.46,0.709,2,16,2,1.23,0.62,0.951,0.125,0.534,0.123
0.982,2L2X2X1/8X3/4,2L2X2X1/8X3/4,0.877,0.378,1.19,0.258,0.501,F,2L,3.3,0.46,0.893,2,16,2,1.35,0.62,1.1,0.125,0.534,0.123
26.2,2L8X6X1LLBB,2L8X6X1LLBB,0.721,162,150,30.2,25,F,2L,88.4,54.6,43.2,6,8,8,4.06,2.49,2.39,1,2.65,1.45
26.2,2L8X6X1X3/8LLBB,2L8X6X1X3/8LLBB,0.732,162,166,30.2,26.8,F,2L,88.4,54.6,48.1,6,8,8,4.14,2.49,2.52,1,2.65,1.45
26.2,2L8X6X1X3/4LLBB,2L8X6X1X3/4LLBB,0.742,162,185,30.2,29,F,2L,88.4,54.6,53.1,6,8,8,4.23,2.49,2.66,1,2.65,1.45
23,2L8X6X7/8LLBB,2L8X6X7/8LLBB,0.718,145,129,26.8,21.5,F,2L,78.2,48.6,36.8,6,9.14,8,4.07,2.5,2.37,0.875,2.6,1.43
23,2L8X6X7/8X3/8LLBB,2L8X6X7/8X3/8LLBB,0.728,145,144,26.8,23.3,F,2L,78.2,48.6,41.1,6,9.14,8,4.14,2.5,2.5,0.875,2.6,1.43
23,2L8X6X7/8X3/4LLBB,2L8X6X7/8X3/4LLBB,0.739,145,159,26.8,24.9,F,2L,78.2,48.6,45.4,6,9.14,8,4.23,2.5,2.63,0.875,2.6,1.43
20,2L8X6X3/4LLBB,2L8X6X3/4LLBB,0.714,127,110,23.4,18.3,F,2L,67.6,42.2,31.2,6,10.7,8,4.07,2.52,2.35,0.75,2.55,1.34
20,2L8X6X3/4X3/8LLBB,2L8X6X3/4X3/8LLBB,0.725,127,122,23.4,19.7,F,2L,67.6,42.2,34.9,6,10.7,8,4.15,2.52,2.47,0.75,2.55,1.34
20,2L8X6X3/4X3/4LLBB,2L8X6X3/4X3/4LLBB,0.735,127,136,23.4,21.3,F,2L,67.6,42.2,38.7,6,10.7,8,4.23,2.52,2.61,0.75,2.55,1.34
16.8,2L8X6X5/8X3/8LLBB,2L8X6X5/8X3/8LLBB,0.722,108,101,19.7,16.3,F,2L,57,35.8,28.6,6,12.8,8,4.16,2.54,2.45,0.625,2.5,1.27
16.8,2L8X6X5/8LLBB,2L8X6X5/8LLBB,0.712,108,91.2,19.7,15.2,F,2L,57,35.8,25.4,6,12.8,8,4.08,2.54,2.33,0.625,2.5,1.27
16.8,2L8X6X5/8X3/4LLBB,2L8X6X5/8X3/4LLBB,0.732,108,113,19.7,17.7,F,2L,57,35.8,31.7,6,12.8,8,4.24,2.54,2.59,0.625,2.5,1.27
15.2,2L8X6X9/16LLBB,2L8X6X9/16LLBB,0.71,98.8,81.8,17.9,13.6,F,2L,51.4,32.4,22.7,6,14.2,8,4.09,2.55,2.32,0.563,2.48,1.24
15.2,2L8X6X9/16X3/8LLBB,2L8X6X9/16X3/8LLBB,0.72,98.8,90.5,17.9,14.6,F,2L,51.4,32.4,25.5,6,14.2,8,4.16,2.55,2.44,0.563,2.48,1.24
15.2,2L8X6X9/16X3/4LLBB,2L8X6X9/16X3/4LLBB,0.731,98.8,101,17.9,15.8,F,2L,51.4,32.4,28.4,6,14.2,8,4.24,2.55,2.58,0.563,2.48,1.24
13.6,2L8X6X1/2LLBB,2L8X6X1/2LLBB,0.709,88.8,72.6,16,12.1,F,2L,46,29.2,19.9,6,16,8,4.09,2.55,2.31,0.5,2.46,1.2
13.6,2L8X6X1/2X3/8LLBB,2L8X6X1/2X3/8LLBB,0.719,88.8,80.3,16,13,F,2L,46,29.2,22.4,6,16,8,4.16,2.55,2.43,0.5,2.46,1.2
13.6,2L8X6X1/2X3/4LLBB,2L8X6X1/2X3/4LLBB,0.729,88.8,89.1,16,14,F,2L,46,29.2,25,6,16,8,4.24,2.55,2.56,0.5,2.46,1.2
12,2L8X6X7/16X3/8LLBB,2L8X6X7/16X3/8LLBB,0.718,78.6,70.3,14.1,11.4,F,2L,40.4,25.8,19.5,6,18.3,8,4.16,2.56,2.42,0.438,2.43,1.15
12,2L8X6X7/16LLBB,2L8X6X7/16LLBB,0.708,78.6,63.5,14.1,10.6,F,2L,40.4,25.8,17.3,6,18.3,8,4.09,2.56,2.3,0.438,2.43,1.15
12,2L8X6X7/16X3/4LLBB,2L8X6X7/16X3/4LLBB,0.728,78.6,78,14.1,12.2,F,2L,40.4,25.8,21.7,6,18.3,8,4.24,2.56,2.55,0.438,2.43,1.15
22.2,2L8X4X1X3/8LLBB,2L8X4X1X3/8LLBB,0.58,139,56.8,28,13.6,F,2L,74.8,48.6,27.3,4,8,8,3.91,2.51,1.6,1,3.03,2.45
22.2,2L8X4X1LLBB,2L8X4X1LLBB,0.568,139,47.3,28,11.8,F,2L,74.8,48.6,23.1,4,8,8,3.86,2.51,1.46,1,3.03,2.45
22.2,2L8X4X1X3/4LLBB,2L8X4X1X3/4LLBB,0.594,139,68,28,15.5,F,2L,74.8,48.6,31.4,4,8,8,3.97,2.51,1.75,1,3.03,2.45
19.6,2L8X4X7/8LLBB,2L8X4X7/8LLBB,0.566,125,40.6,25,10.2,F,2L,66.2,43.4,19.5,4,9.14,8,3.87,2.53,1.44,0.875,2.99,2.41
19.6,2L8X4X7/8X3/8LLBB,2L8X4X7/8X3/8LLBB,0.577,125,48.3,25,11.5,F,2L,66.2,43.4,23.2,4,9.14,8,3.92,2.53,1.57,0.875,2.99,2.41
17,2L8X4X3/4LLBB,2L8X4X3/4LLBB,0.564,110,34.3,21.8,8.57,F,2L,57.4,37.8,16.1,4,10.7,8,3.88,2.55,1.42,0.75,2.94,2.34
19.6,2L8X4X7/8X3/4LLBB,2L8X4X7/8X3/4LLBB,0.59,125,58,25,13.3,F,2L,66.2,43.4,26.9,4,9.14,8,3.98,2.53,1.72,0.875,2.99,2.41
17,2L8X4X3/4X3/8LLBB,2L8X4X3/4X3/8LLBB,0.575,110,40.8,21.8,9.74,F,2L,57.4,37.8,19.3,4,10.7,8,3.93,2.55,1.55,0.75,2.94,2.34
17,2L8X4X3/4X3/4LLBB,2L8X4X3/4X3/4LLBB,0.587,110,48.6,21.8,11.1,F,2L,57.4,37.8,22.5,4,10.7,8,3.99,2.55,1.69,0.75,2.94,2.34
14.3,2L8X4X5/8LLBB,2L8X4X5/8LLBB,0.562,94,27.6,18.4,6.9,F,2L,48.4,32.2,12.9,4,12.8,8,3.89,2.56,1.39,0.625,2.89,2.27
14.3,2L8X4X5/8X3/8LLBB,2L8X4X5/8X3/8LLBB,0.573,94,33,18.4,7.88,F,2L,48.4,32.2,15.6,4,12.8,8,3.94,2.56,1.52,0.625,2.89,2.27
14.3,2L8X4X5/8X3/4LLBB,2L8X4X5/8X3/4LLBB,0.585,94,39.4,18.4,9.01,F,2L,48.4,32.2,18.3,4,12.8,8,3.99,2.56,1.66,0.625,2.89,2.27
13,2L8X4X9/16LLBB,2L8X4X9/16LLBB,0.562,85.8,24.8,16.7,6.2,F,2L,43.8,29.2,11.4,4,14.2,8,3.9,2.57,1.38,0.563,2.86,2.23
13,2L8X4X9/16X3/8LLBB,2L8X4X9/16X3/8LLBB,0.572,85.8,29.6,16.7,7.07,F,2L,43.8,29.2,13.8,4,14.2,8,3.94,2.57,1.51,0.563,2.86,2.23
13,2L8X4X9/16X3/4LLBB,2L8X4X9/16X3/4LLBB,0.584,85.8,35.4,16.7,8.09,F,2L,43.8,29.2,16.3,4,14.2,8,4,2.57,1.65,0.563,2.86,2.23
11.6,2L8X4X1/2LLBB,2L8X4X1/2LLBB,0.561,77.2,22.1,15,5.52,F,2L,39.2,26.2,9.91,4,16,8,3.9,2.58,1.38,0.5,2.84,2.2
11.6,2L8X4X1/2X3/8LLBB,2L8X4X1/2X3/8LLBB,0.571,77.2,26.1,15,6.23,F,2L,39.2,26.2,12.1,4,16,8,3.95,2.58,1.5,0.5,2.84,2.2
11.6,2L8X4X1/2X3/4LLBB,2L8X4X1/2X3/4LLBB,0.583,77.2,30.8,15,7.04,F,2L,39.2,26.2,14.3,4,16,8,4,2.58,1.63,0.5,2.84,2.2
10.2,2L8X4X7/16LLBB,2L8X4X7/16LLBB,0.561,68.4,19.1,13.2,4.78,F,2L,34.4,23.2,8.47,4,18.3,8,3.91,2.59,1.37,0.438,2.81,2.16
10.2,2L8X4X7/16X3/8LLBB,2L8X4X7/16X3/8LLBB,0.571,68.4,22.6,13.2,5.4,F,2L,34.4,23.2,10.4,4,18.3,8,3.95,2.59,1.49,0.438,2.81,2.16
