A,AISC_name,Cw,EDI_Std_Nomenclature,H,Ix,Iy,J,PA,PB,PC,PD,Qf,Qw,Sw1,Sw2,Sw3,Sx,Sy,T,T_F,Type,W,WGi,Wno,Zx,Zy,bf,bfdet,b_t,d,ddet,eo,h_tw,ho,kdes,kdet,ro,rts,rx,ry,tf,tfdet,tw,twdet,twdet_2,x,xp
11.8,C15X40,410,C15X40,0.927,348,9.17,1.45,39.2,42.7,33.5,37,14,28.6,11.7,9.2,4.64,46.5,3.34,12.125,F,C,40,2,16,57.5,6.84,3.52,3.5,5.42,15,15,0.767,24.4,14.4,1.44,1.438,5.71,1.15,5.43,0.883,0.65,0.625,0.52,0.5,0.25,0.25,0.392
10,C15X33.9,358,C15X33.9,0.92,315,8.07,1.01,38.8,42.2,33.4,36.8,14,25.2,10.4,7.55,3.81,42,3.09,12.125,F,C,33.9,2,15.1,50.8,6.19,3.4,3.375,5.23,15,15,0.896,31.8,14.4,1.44,1.438,5.94,1.13,5.61,0.901,0.65,0.625,0.4,0.375,0.188,0.188,0.332
14.7,C15X50,492,C15X50,0.937,404,11,2.65,39.7,43.4,33.7,37.4,14,34.1,13.7,11.6,5.86,53.8,3.77,12.125,F,C,50,2.25,17.4,68.5,8.14,3.72,3.75,5.72,15,15,0.583,17.7,14.4,1.44,1.438,5.49,1.17,5.24,0.865,0.65,0.625,0.716,0.688,0.375,0.375,0.49
8.81,C12X30,151,C12X30,0.919,162,5.12,0.861,32.3,35.5,27.2,30.3,7.66,16.8,6.01,4.91,2.45,27,2.05,9.75,F,C,30,1.75,11.7,33.8,4.32,3.17,3.125,6.33,12,12,0.618,20.1,11.5,1.13,1.125,4.54,1.01,4.29,0.762,0.501,0.5,0.51,0.5,0.25,0.25,0.367
7.34,C12X25,130,C12X25,0.909,144,4.45,0.538,32,35,27.1,30.1,7.67,14.6,5.29,4.02,1.99,24,1.87,9.75,F,C,25,1.75,11,29.4,3.82,3.05,3,6.09,12,12,0.746,26.5,11.5,1.13,1.125,4.72,1,4.43,0.779,0.501,0.5,0.387,0.375,0.188,0.188,0.306
6.08,C12X20.7,112,C12X20.7,0.899,129,3.86,0.369,31.7,34.6,26.9,29.9,7.66,12.7,4.6,3.13,1.58,21.5,1.72,9.75,F,C,20.7,1.75,10.3,25.6,3.47,2.94,3,5.87,12,12,0.87,36.3,11.5,1.13,1.125,4.93,0.983,4.61,0.797,0.501,0.5,0.282,0.313,0.188,0.188,0.253
8.81,C10X30,79.5,C10X30,0.921,103,3.93,1.22,28,31,23,26.1,4.91,13.3,4.12,3.61,1.81,20.7,1.65,8,F,C,30,1.75,9.51,26.7,3.78,3.03,3,6.95,10,10,0.368,12.6,9.56,1,1.063,3.63,0.924,3.43,0.668,0.436,0.438,0.673,0.688,0.375,0.375,0.441
7.35,C10X25,68.3,C10X25,0.912,91.1,3.34,0.687,27.6,30.5,22.9,25.8,4.93,11.5,3.64,3.05,1.5,18.2,1.47,8,F,C,25,1.75,8.94,23.1,3.18,2.89,2.875,6.63,10,10,0.494,16.1,9.56,1,1.063,3.76,0.911,3.52,0.675,0.436,0.438,0.526,0.5,0.25,0.25,0.367
5.87,C10X20,56.9,C10X20,0.9,78.9,2.8,0.368,27.2,29.9,22.7,25.5,4.92,9.66,3.1,2.39,1.18,15.8,1.31,8,F,C,20,1.5,8.25,19.4,2.7,2.74,2.75,6.28,10,10,0.636,22.3,9.56,1,1.063,3.93,0.894,3.67,0.69,0.436,0.438,0.379,0.375,0.188,0.188,0.294
4.48,C10X15.3,45.5,C10X15.3,0.884,67.3,2.27,0.209,26.8,29.4,22.6,25.2,4.92,7.92,2.55,1.67,0.841,13.5,1.15,8,F,C,15.3,1.5,7.48,15.9,2.34,2.6,2.625,5.96,10,10,0.796,35.3,9.56,1,1.063,4.19,0.868,3.88,0.711,0.436,0.438,0.24,0.25,0.125,0.125,0.224
5.87,C9X20,39.4,C9X20,0.899,60.9,2.41,0.427,24.9,27.6,20.7,23.3,3.9,8.44,2.52,2.04,1.01,13.5,1.17,7,F,C,20,1.5,7.24,16.9,2.46,2.65,2.625,6.42,9,9,0.515,16.8,8.59,1,1,3.46,0.85,3.22,0.64,0.413,0.438,0.448,0.438,0.25,0.25,0.326
3.94,C9X13.4,28.2,C9X13.4,0.875,47.8,1.75,0.168,24.3,26.7,20.4,22.9,3.9,6.25,1.88,1.22,0.625,10.6,0.954,7,F,C,13.4,1.375,6.25,12.6,1.94,2.43,2.375,5.88,9,9,0.742,32.2,8.59,1,1,3.79,0.814,3.48,0.666,0.413,0.438,0.233,0.25,0.125,0.125,0.219
5.51,C8X18.75,25.1,C8X18.75,0.894,43.9,1.97,0.434,22.6,25.1,18.5,21.1,3.03,6.93,1.93,1.59,0.788,11,1.01,6.125,F,C,18.75,1.5,6.13,13.9,2.17,2.53,2.5,6.49,8,8,0.431,13.5,7.61,0.938,0.938,3.05,0.8,2.82,0.598,0.39,0.375,0.487,0.5,0.25,0.25,0.344
4.4,C9X15,31,C9X15,0.882,51,1.91,0.208,24.5,27,20.5,23,3.91,6.8,2.06,1.46,0.705,11.3,1.01,7,F,C,15,1.375,6.54,13.6,2.04,2.49,2.5,6.03,9,9,0.681,26.4,8.59,1,1,3.69,0.825,3.4,0.659,0.413,0.438,0.285,0.313,0.188,0.188,0.245
4.03,C8X13.75,19.2,C8X13.75,0.874,36.1,1.52,0.186,22.1,24.4,18.3,20.7,3.02,5.45,1.52,1.1,0.557,9.02,0.848,6.125,F,C,13.75,1.375,5.45,11,1.73,2.34,2.375,6,8,8,0.604,21.8,7.61,0.938,0.938,3.26,0.774,2.99,0.613,0.39,0.375,0.303,0.313,0.188,0.188,0.252
3.37,C8X11.5,16.5,C8X11.5,0.862,32.5,1.31,0.13,21.9,24.1,18.3,20.5,3.03,4.79,1.34,0.855,0.43,8.14,0.775,6.125,F,C,11.5,1.375,5.11,9.63,1.57,2.26,2.25,5.79,8,8,0.697,30,7.61,0.938,0.938,3.41,0.756,3.11,0.623,0.39,0.375,0.22,0.25,0.125,0.125,0.211
4.33,C7X14.75,13.1,C7X14.75,0.875,27.2,1.37,0.267,20,22.3,16.3,18.6,2.28,4.85,1.26,1,0.498,7.78,0.772,5.25,F,C,14.75,1.25,4.78,9.75,1.63,2.3,2.25,6.28,7,7,0.441,13.5,6.63,0.875,0.875,2.75,0.738,2.51,0.561,0.366,0.375,0.419,0.438,0.25,0.25,0.309
3.59,C7X12.25,11.2,C7X12.25,0.862,24.2,1.16,0.161,19.7,21.9,16.2,18.4,2.28,4.2,1.09,0.793,0.406,6.92,0.696,5.25,F,C,12.25,1.25,4.44,8.46,1.42,2.19,2.25,5.98,7,7,0.538,18,6.63,0.875,0.875,2.86,0.722,2.59,0.568,0.366,0.375,0.314,0.313,0.188,0.188,0.257
2.87,C7X9.8,9.15,C7X9.8,0.845,21.2,0.957,0.0996,19.4,21.5,16.1,18.2,2.28,3.57,0.922,0.58,0.289,6.07,0.617,5.25,F,C,9.8,1.25,4.09,7.19,1.26,2.09,2.125,5.71,7,7,0.647,26.9,6.63,0.875,0.875,3.02,0.698,2.72,0.578,0.366,0.375,0.21,0.188,0.125,0.125,0.205
3.07,C6X10.5,5.91,C6X10.5,0.842,15.1,0.86,0.128,17.3,19.3,14,16.1,1.66,3.08,0.734,0.534,0.275,5.04,0.561,4.375,F,C,10.5,1.125,3.48,6.18,1.14,2.03,2,5.92,6,6,0.486,15.3,5.66,0.813,0.813,2.48,0.669,2.22,0.529,0.343,0.313,0.314,0.313,0.188,0.188,0.256
3.82,C6X13,7.19,C6X13,0.858,17.3,1.05,0.237,17.6,19.8,14.2,16.3,1.67,3.64,0.875,0.702,0.345,5.78,0.638,4.375,F,C,13,1.375,3.8,7.29,1.35,2.16,2.125,6.3,6,6,0.38,11,5.66,0.813,0.813,2.37,0.689,2.13,0.524,0.343,0.313,0.437,0.438,0.25,0.25,0.318
2.39,C6X8.2,4.7,C6X8.2,0.824,13.1,0.687,0.0736,17,18.9,13.9,15.8,1.67,2.57,0.61,0.373,0.187,4.35,0.488,4.375,F,C,8.2,1.125,3.17,5.16,0.987,1.92,1.875,5.6,6,6,0.599,24.1,5.66,0.813,0.813,2.65,0.643,2.34,0.536,0.343,0.313,0.2,0.188,0.125,0.125,0.199
2.64,C5X9,2.93,C5X9,0.815,8.89,0.624,0.109,14.9,16.8,11.9,13.8,1.17,2.19,0.485,0.355,0.17,3.56,0.444,3.5,F,C,9,1.125,2.66,4.39,0.913,1.89,1.875,5.91,5,5,0.427,11.7,4.68,0.75,0.75,2.1,0.616,1.84,0.486,0.32,0.313,0.325,0.313,0.188,0.188,0.264
2.13,C4X7.25,1.24,C4X7.25,0.767,4.58,0.425,0.0817,12.4,14.2,9.72,11.4,0.767,1.41,0.281,0.199,0.101,2.29,0.337,2.5,F,C,7.25,1,1.88,2.84,0.695,1.72,1.75,5.81,4,4,0.386,8.9,3.7,0.75,0.75,1.75,0.563,1.47,0.447,0.296,0.313,0.321,0.313,0.188,0.188,0.266
1.58,C4X5.4,0.921,C4X5.4,0.742,3.85,0.312,0.0399,12.1,13.6,9.58,11.2,0.765,1.13,0.219,0.123,0.0637,1.92,0.277,2.5,F,C,5.4,0,1.66,2.29,0.565,1.58,1.625,5.34,4,4,0.501,15.5,3.7,0.75,0.75,1.88,0.528,1.56,0.444,0.296,0.313,0.184,0.188,0.125,0.125,0.231
1.84,C4X6.25,1.07,C4X6.25,0.753,4.19,0.374,0.0549,11.7,13.3,9.65,11.3,0.769,1.26,0.25,0.161,0.0807,2.1,0.312,2.5,F,C,6.25,0,1.77,2.55,0.623,1.65,1.625,5.57,4,4,0.447,11.5,3.7,0.75,0.75,1.81,0.549,1.51,0.451,0.296,0.313,0.247,0.25,0.125,0.125,0.233
1.76,C3X6,0.462,C3X6,0.69,2.07,0.3,0.0725,10.1,11.7,7.6,9.2,0.463,0.864,0.158,0.112,0.0538,1.38,0.263,1.625,F,C,6,0,1.26,1.74,0.543,1.6,1.625,5.86,3,3,0.322,5.38,2.73,0.688,0.688,1.4,0.519,1.09,0.413,0.273,0.25,0.356,0.375,0.188,0.188,0.294
1.34,C4X4.5,0.778,C4X4.5,0.727,3.53,0.265,0.0306,11.5,13,9.52,11,0.765,1.01,0.193,0.0883,0.0442,1.77,0.253,2.5,F,C,4.5,0,1.55,2.05,0.495,1.52,1.5,5.14,4,4,0.556,22.8,3.7,0.75,0.75,1.97,0.506,1.62,0.445,0.296,0.313,0.125,0.125,0.063,0.063,0.305
1.47,C3X5,0.379,C3X5,0.673,1.85,0.241,0.0425,9.86,11.4,7.5,9,0.462,0.753,0.135,0.084,0.0412,1.23,0.228,1.625,F,C,5,0,1.16,1.52,0.464,1.5,1.5,5.49,3,3,0.392,7.42,2.73,0.688,0.688,1.45,0.496,1.12,0.405,0.273,0.25,0.258,0.25,0.125,0.125,0.245
1.2,C3X4.1,0.307,C3X4.1,0.655,1.65,0.191,0.0269,9.61,11,7.41,8.82,0.462,0.653,0.113,0.0575,0.029,1.1,0.196,1.625,F,C,4.1,0,1.06,1.32,0.399,1.41,1.375,5.16,3,3,0.461,11.3,2.73,0.688,0.688,1.53,0.469,1.18,0.398,0.273,0.25,0.17,0.188,0.125,0.125,0.262
1.09,C3X3.5,0.276,C3X3.5,0.646,1.57,0.169,0.0226,9.5,10.9,7.37,8.74,0.461,0.609,0.103,0.0452,0.0235,1.04,0.182,1.625,F,C,3.5,0,1.02,1.24,0.364,1.37,1.375,5.02,3,3,0.493,14.5,2.73,0.688,0.688,1.57,0.456,1.2,0.394,0.273,0.25,0.132,0.125,0.063,0.063,0.296
1.97,C5X6.7,2.22,C5X6.7,0.79,7.48,0.47,0.0549,14.5,16.3,11.8,13.5,1.17,1.76,0.38,0.224,0.113,2.99,0.372,3.5,F,C,6.7,0,2.36,3.55,0.757,1.75,1.75,5.47,5,5,0.552,20,4.68,0.75,0.75,2.26,0.584,1.95,0.489,0.32,0.313,0.19,0.188,0.125,0.125,0.215
15.3,MC18X51.9,985,MC18X51.9,0.939,627,16.3,2.03,46.7,50.8,40.1,44.2,19,43.3,19.9,16.6,8.31,69.6,5.02,15.125,F,MC,51.9,2.5,23.5,87.3,9.86,4.1,4.125,6.56,18,18,0.797,25.8,17.4,1.44,1.438,6.7,1.35,6.41,1.03,0.625,0.625,0.6,0.625,0.313,0.313,0.424
17.1,MC18X58,1070,MC18X58,0.944,675,17.6,2.81,47,51.2,40.2,44.4,19,47.4,21.4,18.4,9.28,75,5.28,15.125,F,MC,58,2.5,24.4,95.4,10.7,4.2,4.25,6.72,18,18,0.695,22.1,17.4,1.44,1.438,6.56,1.35,6.29,1.02,0.625,0.625,0.7,0.688,0.375,0.375,0.474
12.6,MC18X42.7,852,MC18X42.7,0.93,554,14.3,1.23,46.3,50.3,40,43.9,19,37.2,17.4,13.5,6.83,61.5,4.64,15.125,F,MC,42.7,2.5,22,75.1,8.82,3.95,4,6.32,18,18,0.969,34.4,17.4,1.44,1.438,6.97,1.34,6.64,1.07,0.625,0.625,0.45,0.438,0.25,0.25,0.349
13.5,MC18X45.8,897,MC18X45.8,0.933,578,14.9,1.45,46.5,50.5,40,44,19,39.3,18.3,14.6,7.33,64.2,4.77,15.125,F,MC,45.8,2.5,22.5,79.2,9.14,4,4,6.4,18,18,0.909,31,17.4,1.44,1.438,6.87,1.34,6.55,1.05,0.625,0.625,0.5,0.5,0.25,0.25,0.374
14.7,MC13X50,558,MC13X50,0.875,314,16.4,2.96,37.6,42,30.4,34.8,13.7,30.3,14.9,12.1,6.18,48.3,4.77,10.125,F,MC,50,2.5,17.4,60.8,10.2,4.41,4.375,7.23,13,13,0.815,13.7,12.4,1.44,1.438,5.07,1.41,4.62,1.06,0.61,0.625,0.787,0.813,0.438,0.438,0.566
11.7,MC13X40,462,MC13X40,0.859,273,13.7,1.55,37,41.1,30.2,34.4,13.7,25.5,12.8,9.54,4.56,41.9,4.24,10.125,F,MC,40,2.5,16.1,51.2,8.66,4.19,4.125,6.87,13,13,1.03,19.3,12.4,1.44,1.438,5.32,1.38,4.82,1.08,0.61,0.625,0.56,0.563,0.313,0.313,0.452
10.3,MC13X35,412,MC13X35,0.849,252,12.3,1.13,36.7,40.7,30.1,34.1,13.7,23.1,11.5,7.85,4.04,38.8,3.97,10.125,F,MC,35,2.5,15.3,46.5,8.04,4.07,4.125,6.67,13,13,1.16,24.2,12.4,1.44,1.438,5.5,1.35,4.95,1.09,0.61,0.625,0.447,0.438,0.25,0.25,0.396
14.7,MC12X50,411,MC12X50,0.859,269,17.4,3.23,35,39.1,28.1,32.3,13.1,28.1,13,10.3,5.14,44.9,5.64,9.375,F,MC,50,2.5,14.5,56.5,10.9,4.14,4.125,5.91,12,12,0.741,11.5,11.3,1.31,1.313,4.77,1.37,4.28,1.09,0.7,0.688,0.835,0.813,0.438,0.438,0.613
9.35,MC13X31.8,380,MC13X31.8,0.842,239,11.4,0.937,36.5,40.5,30,34,13.7,21.6,10.8,6.9,3.39,36.7,3.79,10.125,F,MC,31.8,2.5,14.8,43.4,7.69,4,4,6.56,13,13,1.24,28.9,12.4,1.44,1.438,5.64,1.34,5.05,1.1,0.61,0.625,0.375,0.375,0.188,0.188,0.36
13.2,MC12X45,373,MC12X45,0.851,251,15.8,2.33,34.6,38.6,28,32,13.1,25.8,11.9,9.09,4.5,41.9,5.3,9.375,F,MC,45,2.5,13.9,52,10.1,4.01,4,5.73,12,12,0.844,13.5,11.3,1.31,1.313,4.88,1.35,4.36,1.09,0.7,0.688,0.71,0.688,0.375,0.375,0.55
11.8,MC12X40,336,MC12X40,0.842,234,14.2,1.69,34.3,38.2,27.9,31.8,13.1,23.7,10.9,7.83,3.91,39,4.98,9.375,F,MC,40,2.5,13.3,47.7,9.31,3.89,3.875,5.56,12,12,0.952,16.3,11.3,1.31,1.313,5.01,1.33,4.46,1.1,0.7,0.688,0.59,0.563,0.313,0.313,0.49
10.3,MC12X35,297,MC12X35,0.831,216,12.6,1.24,34,37.7,27.8,31.5,13.1,21.4,9.88,6.52,3.15,36,4.64,9.375,F,MC,35,2.5,12.6,43.2,8.62,3.77,3.75,5.39,12,12,1.07,20.6,11.3,1.31,1.313,5.18,1.3,4.59,1.11,0.7,0.688,0.465,0.438,0.25,0.25,0.428
4.18,MC12X14.3,32.8,MC12X14.3,0.965,76.1,1,0.117,29,31.1,26.1,28.2,3.42,7.92,1.89,1.6,0.796,12.7,0.574,10.5,F,MC,14.3,1.25,8.39,15.9,1.21,2.12,2.125,6.77,12,12,0.435,43.5,11.7,0.75,0.75,4.37,0.672,4.27,0.489,0.313,0.313,0.25,0.25,0.125,0.125,0.174
3.1,MC12X10.6,11.7,MC12X10.6,0.983,55.3,0.378,0.0596,27.8,29.3,25.5,27,2.37,5.79,0.951,0.822,0.41,9.22,0.307,10.5,F,MC,10.6,0,6,11.6,0.635,1.5,1.5,4.85,12,12,0.284,57.3,11.7,0.75,0.75,4.27,0.478,4.22,0.349,0.309,0.313,0.19,0.188,0.125,0.125,0.129
9.12,MC12X31,267,MC12X31,0.822,202,11.3,1,33.7,37.4,27.7,31.3,13.1,19.7,8.97,5.34,2.66,33.7,4.37,9.375,F,MC,31,2.25,12,39.7,8.15,3.67,3.625,5.24,12,12,1.17,25.9,11.3,1.31,1.313,5.34,1.28,4.71,1.11,0.7,0.688,0.37,0.375,0.188,0.188,0.425
9.87,MC10X33.6,224,MC10X33.6,0.77,139,13.1,1.2,30.8,34.9,24.1,28.2,9.55,16.7,8.24,5.78,2.83,27.8,4.35,7.375,F,MC,33.6,2.5,11.6,33.7,8.28,4.1,4.125,7.13,10,10,1.06,13.4,9.43,1.31,1.313,4.47,1.4,3.75,1.15,0.575,0.563,0.575,0.563,0.313,0.313,0.494
12.1,MC10X41.1,269,MC10X41.1,0.79,157,15.7,2.26,31.4,35.7,24.3,28.6,9.55,19.5,9.59,7.43,3.74,31.5,4.85,7.375,F,MC,41.1,2.5,12.5,39.3,9.49,4.32,4.375,7.51,10,10,0.864,9.66,9.43,1.31,1.313,4.26,1.44,3.61,1.14,0.575,0.563,0.796,0.813,0.438,0.438,0.604
6.45,MC10X22,110,MC10X22,0.791,102,6.4,0.51,28.7,32,23.3,26.6,8.21,11.8,4.95,2.78,1.3,20.5,2.75,7.375,F,MC,22,2,9,23.9,5.29,3.32,3.375,5.77,10,10,1.12,26.5,9.43,1.31,1.313,4.62,1.14,3.99,0.997,0.575,0.563,0.29,0.313,0.188,0.188,0.467
8.37,MC10X28.5,193,MC10X28.5,0.752,126,11.3,0.791,30.4,34.3,24,27.9,9.55,14.9,7.26,4.52,2.2,25.3,3.99,7.375,F,MC,28.5,2.5,10.9,30,7.59,3.95,4,6.87,10,10,1.21,18.1,9.43,1.31,1.313,4.68,1.36,3.89,1.16,0.575,0.563,0.425,0.438,0.25,0.25,0.419
1.95,MC10X6.5,2.76,MC10X6.5,0.988,22.9,0.133,0.0191,22.6,23.8,21.2,22.3,1.01,2.91,0.346,0.313,0.158,4.59,0.137,8.875,F,MC,6.5,0,4.1,5.9,0.284,1.17,1.125,5.79,10,10,0.182,59.8,9.8,0.563,0.563,3.46,0.363,3.43,0.262,0.202,0.188,0.152,0.125,0.063,0.063,0.0975
7.34,MC10X25,124,MC10X25,0.803,110,7.25,0.638,28.9,32.3,23.4,26.8,8.21,13,5.42,3.4,1.75,22,2.96,7.375,F,MC,25,2,9.43,26.2,5.65,3.41,3.375,5.93,10,10,1.03,20.2,9.43,1.31,1.313,4.46,1.17,3.87,0.993,0.575,0.563,0.38,0.375,0.188,0.188,0.367
2.46,MC10X8.4,7,MC10X8.4,0.972,31.9,0.326,0.0413,23.8,25.3,21.5,23,1.81,3.93,0.678,0.559,0.278,6.39,0.268,8.5,F,MC,8.4,0,4.85,7.92,0.548,1.5,1.5,5.36,10,10,0.332,52.6,9.72,0.75,0.75,3.68,0.486,3.61,0.364,0.28,0.25,0.17,0.188,0.125,0.125,0.123
7.47,MC9X25.4,104,MC9X25.4,0.77,87.9,7.57,0.691,27.2,30.7,21.5,25,7.09,11.6,4.95,3.25,1.61,19.5,2.99,6.5,F,MC,25.4,2,8.72,23.5,5.7,3.5,3.5,6.36,9,9,0.986,15.1,8.45,1.25,1.25,4.08,1.2,3.43,1.01,0.55,0.563,0.45,0.438,0.25,0.25,0.415
6.28,MC8X21.4,70.8,MC8X21.4,0.707,61.5,6.58,0.495,25.1,28.5,19.5,22.9,6.03,9.03,3.87,2.27,1.08,15.4,2.71,5.625,F,MC,21.4,2,7.42,18.2,5.18,3.45,3.5,6.57,8,8,1.09,15.7,7.48,1.19,1.188,3.91,1.18,3.13,1.02,0.525,0.5,0.375,0.375,0.188,0.188,0.452
7.02,MC9X23.9,98,MC9X23.9,0.763,84.9,7.14,0.599,27,30.5,21.5,24.9,7.09,11.1,4.69,2.91,1.52,18.9,2.89,6.5,F,MC,23.9,2,8.49,22.5,5.51,3.45,3.5,6.27,9,9,1.04,17,8.45,1.25,1.25,4.15,1.18,3.48,1.01,0.55,0.563,0.4,0.375,0.188,0.188,0.39
6.7,MC8X22.8,75.2,MC8X22.8,0.715,63.8,7.01,0.572,25.2,28.7,19.5,23,6.03,9.45,4.06,2.52,1.22,15.9,2.81,5.625,F,MC,22.8,2,7.6,19.1,5.37,3.5,3.5,6.67,8,8,1.04,13.8,7.48,1.19,1.188,3.84,1.2,3.09,1.02,0.525,0.5,0.427,0.438,0.25,0.25,0.419
2.5,MC8X8.5,8.21,MC8X8.5,0.91,23.3,0.624,0.0587,20.8,22.7,17.9,19.7,2.02,3.45,0.789,0.551,0.285,5.82,0.431,6.375,F,MC,8.5,1.125,4.42,6.95,0.875,1.87,1.875,6.01,8,8,0.542,38.4,7.69,0.813,0.813,3.24,0.624,3.05,0.5,0.311,0.313,0.179,0.188,0.125,0.125,0.156
6.67,MC7X22.7,58.3,MC7X22.7,0.659,47.4,7.24,0.625,23.5,27.1,17.6,21.2,5.03,8.11,3.54,2.25,1.1,13.5,2.83,4.75,F,MC,22.7,2,6.78,16.4,5.38,3.6,3.625,7.2,7,7,1.01,9.94,6.5,1.13,1.125,3.53,1.23,2.67,1.04,0.5,0.5,0.503,0.5,0.25,0.25,0.477
5.61,MC7X19.1,49.3,MC7X19.1,0.638,43.1,6.06,0.407,23.1,26.5,17.5,20.9,5.03,7.19,3.08,1.65,0.815,12.3,2.55,4.75,F,MC,19.1,2,6.33,14.5,4.85,3.45,3.5,6.9,7,7,1.15,14.2,6.5,1.13,1.125,3.7,1.19,2.77,1.04,0.5,0.5,0.352,0.375,0.188,0.188,0.579
5.5,MC8X18.7,45,MC8X18.7,0.773,52.4,4.15,0.38,23.8,26.8,19,22,4.93,7.75,2.83,1.77,0.875,13.1,1.95,5.75,F,MC,18.7,2,6.52,15.6,3.72,2.98,3,5.96,8,8,0.889,17,7.5,1.13,1.125,3.65,1.02,3.09,0.868,0.5,0.5,0.353,0.375,0.188,0.188,0.344
5.87,MC8X20,47.8,MC8X20,0.779,54.4,4.42,0.441,23.9,27,19,22.1,4.93,8.13,2.99,1.97,0.963,13.6,2.02,5.75,F,MC,20,2,6.7,16.4,3.86,3.03,3,6.06,8,8,0.843,15,7.5,1.13,1.125,3.58,1.03,3.04,0.867,0.5,0.5,0.4,0.375,0.188,0.188,0.367
5.29,MC6X18,34.6,MC6X18,0.563,29.7,5.88,0.379,21.2,24.7,15.5,19,4.1,5.8,2.5,1.28,0.682,9.89,2.47,3.875,F,MC,18,2,5.39,11.7,4.68,3.5,3.5,7.37,6,6,1.17,10.8,5.53,1.06,1.063,3.46,1.2,2.37,1.05,0.475,0.5,0.379,0.375,0.188,0.188,0.644
4.44,MC6X15.1,20.5,MC6X15.1,0.634,24.9,3.46,0.285,19.7,22.6,14.9,17.9,3.44,4.87,1.77,0.915,0.457,8.3,1.73,3.875,F,MC,15.1,1.75,4.54,9.83,3.3,2.94,3,6.19,6,6,0.982,12.9,5.53,1.06,1.063,3.18,1.01,2.37,0.883,0.475,0.5,0.316,0.313,0.188,0.188,0.543
4.79,MC6X16.3,22.1,MC6X16.3,0.643,26,3.77,0.336,19.9,22.9,15,18,3.44,5.13,1.88,1.06,0.536,8.66,1.82,3.875,F,MC,16.3,1.75,4.68,10.4,3.47,3,3,6.32,6,6,0.93,10.9,5.53,1.06,1.063,3.11,1.03,2.33,0.887,0.475,0.5,0.375,0.375,0.188,0.188,0.465
3.53,MC6X12,11.3,MC6X12,0.74,18.7,1.85,0.155,18.6,21.1,14.5,17,2.31,3.7,1.13,0.723,0.354,6.24,1.03,4.25,F,MC,12,1.5,4.12,7.47,1.97,2.5,2.5,6.67,6,6,0.725,14.5,5.63,0.875,0.875,2.8,0.856,2.3,0.724,0.375,0.375,0.31,0.313,0.188,0.188,0.294
4.49,MC6X15.3,30,MC6X15.3,0.579,25.3,4.91,0.223,21.3,24.8,15.5,19,3.42,4.95,2.16,1.21,0.575,8.44,2.01,4.25,F,MC,15.3,2,5.62,9.91,3.85,3.5,3.5,9.09,6,6,1.16,13.1,5.62,0.875,0.875,3.41,1.2,2.38,1.05,0.385,0.375,0.34,0.313,0.188,0.188,0.511
2.09,MC6X7,4,MC6X7,0.83,11.4,0.603,0.0464,16.3,18.2,13.9,15.8,1.41,2.22,0.519,0.331,0.16,3.81,0.439,4.5,F,MC,7,0,3.19,4.5,0.865,1.88,1.875,6.46,6,6,0.583,26,5.71,0.75,0.75,2.63,0.638,2.34,0.537,0.291,0.313,0.179,0.188,0.125,0.125,0.174
4.03,MC4X13.8,4.84,MC4X13.8,0.55,8.85,2.13,0.373,13.3,15.8,10.5,13,1.75,2.75,0.806,0.457,0.227,4.43,1.29,2,F,MC,13.8,0,2.37,5.53,2.4,2.5,2.5,5,4,4,0.643,4.48,3.5,1,1,2.23,0.851,1.48,0.727,0.5,0.5,0.5,0.5,0.25,0.25,0.508
1.95,MC6X6.5,3.75,MC6X6.5,0.824,11,0.565,0.0412,16.3,18.1,13.9,15.7,1.41,2.11,0.487,0.29,0.146,3.66,0.422,4.5,F,MC,6.5,0,3.09,4.28,0.836,1.85,1.875,6.36,6,6,0.612,30.1,5.71,0.75,0.75,2.68,0.631,2.38,0.539,0.291,0.313,0.155,0.125,0.063,0.063,0.191
2.11,MC3X7.1,0.915,MC3X7.1,0.516,2.72,0.666,0.0928,10.2,12.2,7.94,9.88,0.757,1.11,0.258,0.134,0.0659,1.81,0.518,1.375,F,MC,7.1,0,1.4,2.24,0.998,1.94,2,5.53,3,3,0.574,4.93,2.65,0.813,0.813,1.76,0.657,1.14,0.562,0.351,0.375,0.312,0.313,0.188,0.188,0.414
