A,AISC_name,Bout,C,EDI_Std_Nomenclature,Ht,Ix,Iy,J,Sx,Sy,T_F,Type,W,Zx,Zy,bin,b_tdes,h,h_tdes,rx,ry,tdes,tnom
32.1,HSS24X12X1/2,12,252,HSS24X12X.500,24,2420,829,1980,202,138,F,HSS,116.91,248,154,10.6,22.8,22.6,48.6,8.68,5.08,0.465,0.5
47.1,HSS24X12X3/4,12,366,HSS24X12X.750,24,3440,1170,2850,287,195,F,HSS,171.16,359,221,9.91,14.2,21.9,31.4,8.55,4.98,0.698,0.75
18.1,HSS20X12X5/16,12,134,HSS20X12X.313,20,1010,464,997,101,77.3,F,HSS,65.87,122,85.8,11.1,38.2,19.1,65.7,7.48,5.07,0.291,0.3125
30.3,HSS20X8X5/8,8,167,HSS20X8X.625,20,1440,338,916,144,84.6,F,HSS,110.36,185,96.4,6.26,10.8,18.3,31.4,6.89,3.34,0.581,0.625
39.6,HSS24X12X5/8,12,310,HSS24X12X.625,24,2940,1000,2430,245,167,F,HSS,144.39,304,188,10.3,17.7,22.3,38.4,8.62,5.03,0.581,0.625
18.7,HSS20X8X3/8,8,105,HSS20X8X.375,20,926,222,586,92.6,55.6,F,HSS,68.31,117,61.5,6.95,19.9,19,54.3,7.03,3.44,0.349,0.375
24.6,HSS20X8X1/2,8,137,HSS20X8X.500,20,1190,283,757,119,70.8,F,HSS,89.68,152,79.5,6.6,14.2,18.6,40,6.96,3.39,0.465,0.5
20.9,HSS20X4X1/2,4,63.8,HSS20X4X.500,20,838,58.7,195,83.8,29.3,F,HSS,76.07,115,34,2.6,5.6,18.6,40,6.33,1.68,0.465,0.5
15.7,HSS20X8X5/16,8,88.3,HSS20X8X.313,20,786,189,496,78.6,47.4,F,HSS,57.36,98.6,52,7.13,24.5,19.1,65.7,7.07,3.47,0.291,0.3125
16,HSS20X4X3/8,4,49.9,HSS20X4X.375,20,657,47.6,156,65.7,23.8,F,HSS,58.1,89.3,26.8,2.95,8.46,19,54.3,6.42,1.73,0.349,0.375
13.4,HSS20X4X5/16,4,42.4,HSS20X4X.313,20,560,41.2,134,56,20.6,F,HSS,48.86,75.6,22.9,3.13,10.7,19.1,65.7,6.46,1.75,0.291,0.3125
10.8,HSS20X4X1/4,4,34.7,HSS20X4X.250,20,458,34.3,111,45.8,17.1,F,HSS,39.43,61.5,18.7,3.3,14.2,19.3,82.8,6.5,1.78,0.233,0.25
44.3,HSS20X20X5/8,20,437,HSS20X20X.625,20,2750,2750,4320,275,275,F,HSS,161.4,320,320,18.3,31.5,18.3,31.5,7.88,7.88,0.581,0.625
67.3,HSS22X22X7/8,22,729,HSS22X22X.875,22,4970,4970,7890,452,452,F,HSS,244.88,530,530,19.6,24.1,19.6,24.1,8.59,8.59,0.814,0.875
58.2,HSS22X22X3/4,22,632,HSS22X22X.750,22,4350,4350,6860,395,395,F,HSS,212,462,462,19.9,28.5,19.9,28.5,8.65,8.65,0.698,0.75
60.8,HSS20X20X7/8,20,597,HSS20X20X.875,20,3670,3670,5870,367,367,F,HSS,221.06,433,433,17.6,21.6,17.6,21.6,7.77,7.77,0.814,0.875
52.6,HSS20X20X3/4,20,519,HSS20X20X.750,20,3230,3230,5110,323,323,F,HSS,191.58,378,378,17.9,25.6,17.9,25.6,7.84,7.84,0.698,0.75
47.1,HSS18X18X3/4,18,417,HSS18X18X.750,18,2320,2320,3690,258,258,F,HSS,171.16,302,302,15.9,22.8,15.9,22.8,7.02,7.02,0.698,0.75
21.5,HSS20X12X3/8,12,160,HSS20X12X.375,20,1200,547,1180,120,91.1,F,HSS,78.52,144,102,11,31.4,19,54.3,7.45,5.04,0.349,0.375
28.3,HSS20X12X1/2,12,209,HSS20X12X.500,20,1550,705,1540,155,117,F,HSS,103.3,188,132,10.6,22.8,18.6,40,7.39,4.99,0.465,0.5
54.3,HSS18X18X7/8,18,479,HSS18X18X.875,18,2630,2630,4220,292,292,F,HSS,197.24,346,346,15.6,19.2,15.6,19.2,6.96,6.96,0.814,0.875
35.8,HSS20X20X1/2,20,355,HSS20X20X.500,20,2260,2260,3510,226,226,F,HSS,130.52,261,261,18.6,40,18.6,40,7.95,7.95,0.465,0.5
35,HSS20X12X5/8,12,257,HSS20X12X.625,20,1880,851,1890,188,142,F,HSS,127.37,230,162,10.3,17.7,18.3,31.4,7.33,4.93,0.581,0.625
41.5,HSS20X12X3/4,12,303,HSS20X12X.750,20,2190,988,2220,219,165,F,HSS,150.75,270,190,9.91,14.2,17.9,25.6,7.26,4.88,0.698,0.75
25.7,HSS18X6X5/8,6,109,HSS18X6X.625,18,923,158,462,103,52.7,F,HSS,93.34,135,61,4.26,7.33,16.3,28,6,2.48,0.581,0.625
16,HSS18X6X3/8,6,69.5,HSS18X6X.375,18,602,106,302,66.9,35.5,F,HSS,58.1,86.4,39.5,4.95,14.2,17,48.6,6.15,2.58,0.349,0.375
20.9,HSS18X6X1/2,6,89.9,HSS18X6X.500,18,770,134,387,85.6,44.6,F,HSS,76.07,112,50.7,4.61,9.9,16.6,35.7,6.07,2.53,0.465,0.5
39.6,HSS18X18X5/8,18,352,HSS18X18X.625,18,1980,1980,3120,220,220,F,HSS,144.39,257,257,16.3,28.1,16.3,28.1,7.07,7.07,0.581,0.625
13.4,HSS18X6X5/16,6,58.7,HSS18X6X.313,18,513,91.3,257,57,30.4,F,HSS,48.86,73.1,33.5,5.13,17.6,17.1,58.9,6.18,2.61,0.291,0.3125
32.1,HSS18X18X1/2,18,286,HSS18X18X.500,18,1630,1630,2540,181,181,F,HSS,116.91,210,210,16.6,35.7,16.6,35.7,7.13,7.13,0.465,0.5
10.8,HSS18X6X1/4,6,47.7,HSS18X6X.250,18,419,75.1,210,46.5,25,F,HSS,39.43,59.4,27.3,5.3,22.8,17.3,74.3,6.22,2.63,0.233,0.25
41.5,HSS16X16X3/4,16,326,HSS16X16X.750,16,1590,1590,2560,199,199,F,HSS,150.75,235,235,13.9,19.9,13.9,19.9,6.19,6.19,0.698,0.75
35,HSS16X16X5/8,16,276,HSS16X16X.625,16,1370,1370,2170,171,171,F,HSS,127.37,200,200,14.3,24.5,14.3,24.5,6.25,6.25,0.581,0.625
28.3,HSS16X16X1/2,16,224,HSS16X16X.500,16,1130,1130,1770,141,141,F,HSS,103.3,164,164,14.6,31.4,14.6,31.4,6.31,6.31,0.465,0.5
21.5,HSS16X16X3/8,16,171,HSS16X16X.375,16,873,873,1350,109,109,F,HSS,78.52,126,126,15,42.8,15,42.8,6.37,6.37,0.349,0.375
18.1,HSS16X16X5/16,16,144,HSS16X16X.313,16,739,739,1140,92.3,92.3,F,HSS,65.87,106,106,15.1,52,15.1,52,6.39,6.39,0.291,0.3125
35.9,HSS16X12X3/4,12,240,HSS16X12X.750,16,1270,810,1610,159,135,F,HSS,130.33,193,158,9.91,14.2,13.9,19.9,5.95,4.75,0.698,0.75
30.3,HSS16X12X5/8,12,204,HSS16X12X.625,16,1090,700,1370,136,117,F,HSS,110.36,165,135,10.3,17.7,14.3,24.5,6,4.8,0.581,0.625
24.6,HSS16X12X1/2,12,166,HSS16X12X.500,16,904,581,1120,113,96.8,F,HSS,89.68,135,111,10.6,22.8,14.6,31.4,6.06,4.86,0.465,0.5
18.7,HSS16X12X3/8,12,127,HSS16X12X.375,16,702,452,862,87.7,75.3,F,HSS,68.31,104,85.5,11,31.4,15,42.8,6.12,4.91,0.349,0.375
15.7,HSS16X12X5/16,12,107,HSS16X12X.313,16,595,384,727,74.4,64,F,HSS,57.36,87.7,72.2,11.1,38.2,15.1,52,6.15,4.94,0.291,0.3125
25.7,HSS16X8X5/8,8,132,HSS16X8X.625,16,815,274,681,102,68.6,F,HSS,93.34,129,79.2,6.26,10.8,14.3,24.5,5.64,3.27,0.581,0.625
20.9,HSS16X8X1/2,8,108,HSS16X8X.500,16,679,230,563,84.9,57.6,F,HSS,76.07,106,65.5,6.6,14.2,14.6,31.4,5.7,3.32,0.465,0.5
16,HSS16X8X3/8,8,83.4,HSS16X8X.375,16,531,181,436,66.3,45.3,F,HSS,58.1,82.1,50.8,6.95,19.9,15,42.8,5.77,3.37,0.349,0.375
13.4,HSS16X8X5/16,8,70.4,HSS16X8X.313,16,451,155,369,56.4,38.7,F,HSS,48.86,69.4,43,7.13,24.5,15.1,52,5.8,3.4,0.291,0.3125
10.8,HSS16X8X1/4,8,57,HSS16X8X.250,16,368,127,300,46.1,31.7,F,HSS,39.43,56.4,35,7.3,31.3,15.3,65.7,5.83,3.42,0.233,0.25
21,HSS16X4X5/8,4,60.5,HSS16X4X.625,16,539,54.1,174,67.3,27,F,HSS,76.33,92.9,32.5,2.26,3.88,14.3,24.5,5.06,1.6,0.581,0.625
17.2,HSS16X4X1/2,4,50.7,HSS16X4X.500,16,455,47,150,56.9,23.5,F,HSS,62.46,77.3,27.4,2.6,5.6,14.6,31.4,5.15,1.65,0.465,0.5
13.2,HSS16X4X3/8,4,39.7,HSS16X4X.375,16,360,38.3,120,45,19.1,F,HSS,47.9,60.2,21.7,2.95,8.46,15,42.8,5.23,1.71,0.349,0.375
11.1,HSS16X4X5/16,4,33.8,HSS16X4X.313,16,308,33.2,103,38.5,16.6,F,HSS,40.35,51.1,18.5,3.13,10.7,15.1,52,5.27,1.73,0.291,0.3125
47.7,HSS16X16X7/8,16,373,HSS16X16X.875,16,1800,1800,2920,225,225,F,HSS,173.43,268,268,13.6,16.7,13.6,16.7,6.14,6.14,0.814,0.875
8.96,HSS16X4X1/4,4,27.6,HSS16X4X.250,16,253,27.7,85.2,31.6,13.8,F,HSS,32.63,41.7,15.2,3.3,14.2,15.3,65.7,5.31,1.76,0.233,0.25
6.76,HSS16X4X3/16,4,21.1,HSS16X4X.188,16,193,21.5,65.5,24.2,10.8,F,HSS,24.73,31.7,11.7,3.48,20,15.5,89,5.35,1.78,0.174,0.1875
41.2,HSS14X14X7/8,14,281,HSS14X14X.875,14,1170,1170,1910,167,167,F,HSS,149.61,201,201,11.6,14.3,11.6,14.3,5.33,5.33,0.814,0.875
35.9,HSS14X14X3/4,14,246,HSS14X14X.750,14,1040,1040,1680,149,149,F,HSS,130.33,177,177,11.9,17,11.9,17,5.38,5.38,0.698,0.75
30.3,HSS14X14X5/8,14,208,HSS14X14X.625,14,897,897,1430,128,128,F,HSS,110.36,151,151,12.3,21.1,12.3,21.1,5.44,5.44,0.581,0.625
24.6,HSS14X14X1/2,14,170,HSS14X14X.500,14,743,743,1170,106,106,F,HSS,89.68,124,124,12.6,27.1,12.6,27.1,5.49,5.49,0.465,0.5
18.7,HSS14X14X3/8,14,130,HSS14X14X.375,14,577,577,900,82.5,82.5,F,HSS,68.31,95.4,95.4,13,37.1,13,37.1,5.55,5.55,0.349,0.375
15.7,HSS14X14X5/16,14,109,HSS14X14X.313,14,490,490,759,69.9,69.9,F,HSS,57.36,80.5,80.5,13.1,45.1,13.1,45.1,5.58,5.58,0.291,0.3125
25.7,HSS14X10X5/8,10,146,HSS14X10X.625,14,687,407,832,98.2,81.5,F,HSS,93.34,120,95.1,8.26,14.2,12.3,21.1,5.17,3.98,0.581,0.625
20.9,HSS14X10X1/2,10,120,HSS14X10X.500,14,573,341,685,81.8,68.1,F,HSS,76.07,98.8,78.5,8.6,18.5,12.6,27.1,5.23,4.04,0.465,0.5
16,HSS14X10X3/8,10,91.8,HSS14X10X.375,14,447,267,528,63.9,53.4,F,HSS,58.1,76.3,60.7,8.95,25.7,13,37.1,5.29,4.09,0.349,0.375
21,HSS14X6X5/8,6,83.7,HSS14X6X.625,14,478,124,334,68.3,41.2,F,HSS,76.33,88.7,48.4,4.26,7.33,12.3,21.1,4.77,2.43,0.581,0.625
13.4,HSS14X10X5/16,10,77.4,HSS14X10X.313,14,380,227,446,54.3,45.5,F,HSS,48.86,64.6,51.4,9.13,31.4,13.1,45.1,5.32,4.12,0.291,0.3125
10.8,HSS14X10X1/4,10,62.6,HSS14X10X.250,14,310,186,362,44.3,37.2,F,HSS,39.43,52.4,41.8,9.3,39.9,13.3,57.1,5.35,4.14,0.233,0.25
11.1,HSS14X6X5/16,6,45.5,HSS14X6X.313,14,271,72.3,186,38.7,24.1,F,HSS,40.35,48.6,26.9,5.13,17.6,13.1,45.1,4.94,2.55,0.291,0.3125
17.2,HSS14X6X1/2,6,69.3,HSS14X6X.500,14,402,105,279,57.4,35.1,F,HSS,62.46,73.6,40.4,4.61,9.9,12.6,27.1,4.84,2.48,0.465,0.5
13.2,HSS14X6X3/8,6,53.7,HSS14X6X.375,14,317,84.1,219,45.3,28,F,HSS,47.9,57.3,31.6,4.95,14.2,13,37.1,4.91,2.53,0.349,0.375
18.7,HSS14X4X5/8,4,52.6,HSS14X4X.625,14,373,47.2,148,53.3,23.6,F,HSS,67.82,73.1,28.5,2.26,3.88,12.3,21.1,4.47,1.59,0.581,0.625
8.96,HSS14X6X1/4,6,36.9,HSS14X6X.250,14,222,59.6,152,31.7,19.9,F,HSS,32.63,39.6,22,5.3,22.8,13.3,57.1,4.98,2.58,0.233,0.25
6.76,HSS14X6X3/16,6,28,HSS14X6X.188,14,170,45.9,116,24.3,15.3,F,HSS,24.73,30.1,16.7,5.48,31.5,13.5,77.5,5.01,2.61,0.174,0.1875
9.92,HSS14X4X5/16,4,29.5,HSS14X4X.313,14,216,29.2,87.7,30.9,14.6,F,HSS,36.1,40.6,16.4,3.13,10.7,13.1,45.1,4.67,1.72,0.291,0.3125
6.06,HSS14X4X3/16,4,18.4,HSS14X4X.188,14,137,19,55.8,19.5,9.48,F,HSS,22.18,25.3,10.3,3.48,20,13.5,77.5,4.74,1.77,0.174,0.1875
8.03,HSS14X4X1/4,4,24.1,HSS14X4X.250,14,178,24.4,72.4,25.4,12.2,F,HSS,29.23,33.2,13.5,3.3,14.2,13.3,57.1,4.71,1.74,0.233,0.25
15.3,HSS14X4X1/2,4,44.1,HSS14X4X.500,14,317,41.2,127,45.3,20.6,F,HSS,55.66,61,24.1,2.6,5.6,12.6,27.1,4.55,1.64,0.465,0.5
25.7,HSS12X12X5/8,12,151,HSS12X12X.625,12,548,548,885,91.4,91.4,F,HSS,93.34,109,109,10.3,17.7,10.3,17.7,4.62,4.62,0.581,0.625
11.8,HSS14X4X3/8,4,34.6,HSS14X4X.375,14,252,33.6,102,36,16.8,F,HSS,42.79,47.8,19.1,2.95,8.46,13,37.1,4.63,1.69,0.349,0.375
30.3,HSS12X12X3/4,12,177,HSS12X12X.750,12,631,631,1030,105,105,F,HSS,109.91,127,127,9.91,14.2,9.91,14.2,4.56,4.56,0.698,0.75
20.9,HSS12X12X1/2,12,123,HSS12X12X.500,12,457,457,728,76.2,76.2,F,HSS,76.07,89.6,89.6,10.6,22.8,10.6,22.8,4.68,4.68,0.465,0.5
13.4,HSS12X12X5/16,12,79.7,HSS12X12X.313,12,304,304,474,50.7,50.7,F,HSS,48.86,58.6,58.6,11.1,38.2,11.1,38.2,4.76,4.76,0.291,0.3125
19,HSS12X10X1/2,10,102,HSS12X10X.500,12,395,298,545,65.9,59.7,F,HSS,69.27,78.8,69.6,8.6,18.5,10.6,22.8,4.56,3.96,0.465,0.5
12.2,HSS12X10X5/16,10,66.1,HSS12X10X.313,12,264,200,356,44,40,F,HSS,44.6,51.7,45.7,9.13,31.4,11.1,38.2,4.64,4.04,0.291,0.3125
14.6,HSS12X10X3/8,10,78.3,HSS12X10X.375,12,310,234,421,51.6,46.9,F,HSS,53,61.1,54,8.95,25.7,11,31.4,4.61,4.01,0.349,0.375
10.8,HSS12X12X1/4,12,64.5,HSS12X12X.250,12,248,248,384,41.4,41.4,F,HSS,39.43,47.6,47.6,11.3,48.5,11.3,48.5,4.79,4.79,0.233,0.25
8.15,HSS12X12X3/16,12,48.6,HSS12X12X.188,12,189,189,290,31.5,31.5,F,HSS,29.84,36,36,11.5,66,11.5,66,4.82,4.82,0.174,0.1875
16,HSS12X12X3/8,12,94.6,HSS12X12X.375,12,357,357,561,59.5,59.5,F,HSS,58.1,69.2,69.2,11,31.4,11,31.4,4.73,4.73,0.349,0.375
17.2,HSS12X8X1/2,8,80.4,HSS12X8X.500,12,333,178,377,55.6,44.4,F,HSS,62.46,68.1,51.5,6.6,14.2,10.6,22.8,4.41,3.21,0.465,0.5
21,HSS12X8X5/8,8,97.7,HSS12X8X.625,12,397,210,454,66.1,52.5,F,HSS,76.33,82.1,61.9,6.26,10.8,10.3,17.7,4.34,3.16,0.581,0.625
9.9,HSS12X10X1/4,10,53.5,HSS12X10X.250,12,216,164,289,36,32.7,F,HSS,36.03,42.1,37.2,9.3,39.9,11.3,48.5,4.67,4.07,0.233,0.25
11.1,HSS12X8X5/16,8,52.4,HSS12X8X.313,12,224,120,248,37.4,30.1,F,HSS,40.35,44.9,34.1,7.13,24.5,11.1,38.2,4.5,3.29,0.291,0.3125
8.96,HSS12X8X1/4,8,42.5,HSS12X8X.250,12,184,98.8,202,30.6,24.7,F,HSS,32.63,36.6,27.8,7.3,31.3,11.3,48.5,4.53,3.32,0.233,0.25
13.2,HSS12X8X3/8,8,62.1,HSS12X8X.375,12,262,140,293,43.7,35.1,F,HSS,47.9,53,40.1,6.95,19.9,11,31.4,4.47,3.27,0.349,0.375
18.7,HSS12X6X5/8,6,71.1,HSS12X6X.625,12,321,107,271,53.4,35.5,F,HSS,67.82,68.8,42.1,4.26,7.33,10.3,17.7,4.14,2.39,0.581,0.625
6.76,HSS12X8X3/16,8,32.2,HSS12X8X.188,12,140,75.7,153,23.4,18.9,F,HSS,24.73,27.8,21.1,7.48,43,11.5,66,4.56,3.35,0.174,0.1875
15.3,HSS12X6X1/2,6,59,HSS12X6X.500,12,271,91.1,227,45.2,30.4,F,HSS,55.66,57.4,35.2,4.61,9.9,10.6,22.8,4.21,2.44,0.465,0.5
11.8,HSS12X6X3/8,6,45.8,HSS12X6X.375,12,215,72.9,178,35.9,24.3,F,HSS,42.79,44.8,27.7,4.95,14.2,11,31.4,4.28,2.49,0.349,0.375
9.92,HSS12X6X5/16,6,38.8,HSS12X6X.313,12,184,62.8,152,30.7,20.9,F,HSS,36.1,38.1,23.6,5.13,17.6,11.1,38.2,4.31,2.52,0.291,0.3125
8.03,HSS12X6X1/4,6,31.6,HSS12X6X.250,12,151,51.9,124,25.2,17.3,F,HSS,29.23,31.1,19.3,5.3,22.8,11.3,48.5,4.34,2.54,0.233,0.25
6.06,HSS12X6X3/16,6,24,HSS12X6X.188,12,116,40,94.6,19.4,13.3,F,HSS,22.18,23.7,14.7,5.48,31.5,11.5,66,4.38,2.57,0.174,0.1875
