A,Ix,Iy,Iz,R1,R2,Size,Sx,Sy,Type,W,alpha,b,d,rx,ry,rz,t,x,y
0.36,0.0745,0.0745,0.0282,0.188,0.125,L 1 1/2 x 1 1/2 x 1/8,0.0684,0.0684,Aluminum Association,0.42,45,1.5,1.5,0.455,0.455,0.28,0.125,0.411,0.411
0.423,0.121,0.121,0.0462,0.188,0.125,L 1 3/4 x 1 3/4 x 1/8,0.0948,0.0948,Aluminum Association,0.5,45,1.75,1.75,0.535,0.535,0.33,0.125,0.473,0.473
0.813,0.223,0.223,0.0904,0.188,0.125,L 1 3/4 x 1 3/4 x 1/4,0.182,0.182,Aluminum Association,0.96,45,1.75,1.75,0.523,0.523,0.333,0.25,0.524,0.524
0.688,0.135,0.135,0.0556,0.188,0.125,L 1 1/2 x 1 1/2 x 1/4,0.13,0.13,Aluminum Association,0.81,45,1.5,1.5,0.444,0.444,0.284,0.25,0.461,0.461
0.491,0.185,0.185,0.071,0.25,0.125,L 2 x 2 x 1/8,0.126,0.126,Aluminum Association,0.58,45,2,2,0.613,0.613,0.381,0.125,0.531,0.531
1.17,0.306,0.306,0.132,0.188,0.125,L 1 3/4 x 1 3/4 x 3/8,0.259,0.259,Aluminum Association,1.38,45,1.75,1.75,0.511,0.511,0.336,0.375,0.57,0.57
0.723,0.268,0.268,0.106,0.25,0.125,L 2 x 2 x 3/16,0.186,0.186,Aluminum Association,0.85,45,2,2,0.608,0.608,0.382,0.188,0.56,0.56
0.944,0.342,0.342,0.138,0.25,0.125,L 2 x 2 x 1/4,0.242,0.242,Aluminum Association,1.11,45,2,2,0.602,0.602,0.382,0.25,0.585,0.585
1.37,0.474,0.474,0.201,0.25,0.125,L 2 x 2 x 3/8,0.346,0.346,Aluminum Association,1.61,45,2,2,0.589,0.589,0.383,0.375,0.632,0.632
1.16,0.41,0.41,0.169,0.25,0.125,L 2 x 2 x 5/16,0.295,0.295,Aluminum Association,1.36,45,2,2,0.595,0.595,0.383,0.312,0.609,0.609
0.616,0.369,0.369,0.143,0.25,0.125,L 2 1/2 x 2 1/2 x 1/8,0.2,0.2,Aluminum Association,0.72,45,2.5,2.5,0.774,0.774,0.483,0.125,0.655,0.655
0.911,0.539,0.539,0.213,0.25,0.125,L 2 1/2 x 2 1/2 x 3/16,0.297,0.297,Aluminum Association,1.07,45,2.5,2.5,0.769,0.769,0.484,0.188,0.684,0.684
1.19,0.695,0.695,0.278,0.25,0.125,L 2 1/2 x 2 1/2 x 1/4,0.388,0.388,Aluminum Association,1.4,45,2.5,2.5,0.763,0.763,0.483,0.25,0.71,0.71
1.47,0.839,0.839,0.341,0.25,0.125,L 2 1/2 x 2 1/2 x 5/16,0.475,0.475,Aluminum Association,1.73,45,2.5,2.5,0.756,0.756,0.482,0.312,0.734,0.734
1.74,0.976,0.976,0.403,0.25,0.125,L 2 1/2 x 2 1/2 x 3/8,0.56,0.56,Aluminum Association,2.05,45,2.5,2.5,0.749,0.749,0.481,0.375,0.757,0.757
2.26,1.22,1.22,0.525,0.25,0.125,L 2 1/2 x 2 1/2 x 1/2,0.718,0.718,Aluminum Association,2.65,45,2.5,2.5,0.735,0.735,0.482,0.5,0.802,0.802
1.09,0.908,0.908,0.332,0.312,0.25,L 3 x 3 x 3/16,0.412,0.412,Aluminum Association,1.28,45,3,3,0.914,0.914,0.553,0.188,0.797,0.797
1.43,1.19,1.19,0.45,0.312,0.25,L 3 x 3 x 1/4,0.547,0.547,Aluminum Association,1.68,45,3,3,0.912,0.912,0.56,0.25,0.826,0.826
1.77,1.45,1.45,0.563,0.312,0.25,L 3 x 3 x 5/16,0.677,0.677,Aluminum Association,2.08,45,3,3,0.907,0.907,0.564,0.312,0.852,0.852
2.1,1.71,1.71,0.674,0.312,0.25,L 3 x 3 x 3/8,0.804,0.804,Aluminum Association,2.47,45,3,3,0.901,0.901,0.566,0.375,0.877,0.877
2.74,2.17,2.17,0.888,0.312,0.25,L 3 x 3 x 1/2,1.04,1.04,Aluminum Association,3.23,45,3,3,0.889,0.889,0.569,0.5,0.924,0.924
1.69,1.94,1.94,0.739,0.375,0.25,L 3 1/2 x 3 1/2 x 1/4,0.758,0.758,Aluminum Association,1.99,45,3.5,3.5,1.07,1.07,0.661,0.25,0.947,0.947
2.1,2.38,2.38,0.924,0.375,0.25,L 3 1/2 x 3 1/2 x 5/16,0.942,0.942,Aluminum Association,2.47,45,3.5,3.5,1.07,1.07,0.664,0.313,0.974,0.974
2.49,2.79,2.79,1.1,0.375,0.25,L 3 1/2 x 3 1/2 x 3/8,1.12,1.12,Aluminum Association,2.93,45,3.5,3.5,1.06,1.06,0.665,0.375,1,1
3.25,3.57,3.57,1.45,0.375,0.25,L 3 1/2 x 3 1/2 x 1/2,1.45,1.45,Aluminum Association,3.83,45,3.5,3.5,1.05,1.05,0.667,0.5,1.05,1.05
1.94,2.94,2.94,1.13,0.375,0.25,L 4 x 4 x 1/4,1,1,Aluminum Association,2.28,45,4,4,1.23,1.23,0.762,0.25,1.07,1.07
2.41,3.62,3.62,1.41,0.375,0.25,L 4 x 4 x 5/16,1.25,1.25,Aluminum Association,2.83,45,4,4,1.23,1.23,0.765,0.313,1.1,1.1
2.86,4.26,4.26,1.68,0.375,0.25,L 4 x 4 x 3/8,1.48,1.48,Aluminum Association,3.37,45,4,4,1.22,1.22,0.766,0.375,1.12,1.12
3.75,5.47,5.47,2.2,0.375,0.25,L 4 x 4 x 1/2,1.93,1.93,Aluminum Association,4.41,45,4,4,1.21,1.21,0.766,0.5,1.17,1.17
3.32,4.89,4.89,1.95,0.375,0.25,L 4 x 4 x 7/16,1.71,1.71,Aluminum Association,3.9,45,4,4,1.21,1.21,0.766,0.438,1.15,1.15
4.61,6.57,6.57,2.71,0.375,0.25,L 4 x 4 x 5/8,2.36,2.36,Aluminum Association,5.42,45,4,4,1.19,1.19,0.766,0.625,1.22,1.22
4.19,6.04,6.04,2.46,0.375,0.25,L 4 x 4 x 9/16,2.15,2.15,Aluminum Association,4.93,45,4,4,1.2,1.2,0.766,0.563,1.2,1.2
3.6,8.4,8.4,3.19,0.5,0.375,L 5 x 5 x 3/8,2.31,2.31,Aluminum Association,4.24,45,5,5,1.53,1.53,0.941,0.375,1.36,1.36
5.03,7.09,7.09,2.96,0.375,0.25,L 4 x 4 x 11/16,2.57,2.57,Aluminum Association,5.92,45,4,4,1.19,1.19,0.767,0.688,1.24,1.24
5.44,7.58,7.58,3.21,0.375,0.25,L 4 x 4 x 3/4,2.77,2.77,Aluminum Association,6.4,45,4,4,1.18,1.18,0.768,0.75,1.27,1.27
5.31,12.1,12.1,4.77,0.5,0.375,L 5 x 5 x 9/16,3.4,3.4,Aluminum Association,6.24,45,5,5,1.51,1.51,0.948,0.563,1.44,1.44
4.18,9.69,9.69,3.73,0.5,0.375,L 5 x 5 x 7/16,2.68,2.68,Aluminum Association,4.92,45,5,5,1.52,1.52,0.945,0.438,1.39,1.39
4.74,10.9,10.9,4.25,0.5,0.375,L 5 x 5 x 1/2,3.04,3.04,Aluminum Association,5.58,45,5,5,1.52,1.52,0.947,0.5,1.41,1.41
6.93,15.4,15.4,6.27,0.5,0.375,L 5 x 5 x 3/4,4.42,4.42,Aluminum Association,8.15,45,5,5,1.49,1.49,0.951,0.75,1.51,1.51
5.85,13.3,13.3,5.28,0.5,0.375,L 5 x 5 x 5/8,3.75,3.75,Aluminum Association,6.88,45,5,5,1.5,1.5,0.949,0.625,1.46,1.46
5.06,17.2,17.2,6.65,0.5,0.375,L 6 x 6 x 7/16,3.94,3.94,Aluminum Association,5.95,45,6,6,1.84,1.84,1.15,0.438,1.64,1.64
7.77,47.8,47.8,18.8,0.625,0.375,L 8 x 8 x 1/2,8.18,8.18,Aluminum Association,9.14,45,8,8,2.48,2.48,1.55,0.5,2.16,2.16
4.35,14.9,14.9,5.69,0.5,0.375,L 6 x 6 x 3/8,3.39,3.39,Aluminum Association,5.12,45,6,6,1.85,1.85,1.14,0.375,1.61,1.61
5.74,19.4,19.4,7.58,0.5,0.375,L 6 x 6 x 1/2,4.48,4.48,Aluminum Association,6.75,45,6,6,1.84,1.84,1.15,0.5,1.66,1.66
0.36,0.109,0.046,0.0238,0.188,0.125,L 1 3/4 x 1 1/4 x 1/8,0.0901,0.0484,Aluminum Association,0.42,27.12,1.25,1.75,0.549,0.357,0.257,0.125,0.3,0.544
15,88.2,88.2,35.9,0.625,0.375,L 8 x 8 x 1,15.6,15.6,Aluminum Association,17.7,45,8,8,2.42,2.42,1.55,1,2.35,2.35
7.1,23.7,23.7,9.39,0.5,0.375,L 6 x 6 x 5/8,5.52,5.52,Aluminum Association,8.35,45,6,6,1.83,1.83,1.15,0.625,1.71,1.71
8.43,27.7,27.7,11.1,0.5,0.375,L 6 x 6 x 3/4,6.53,6.53,Aluminum Association,9.91,45,6,6,1.81,1.81,1.15,0.75,1.76,1.76
9.63,58.6,58.6,23.2,0.625,0.375,L 8 x 8 x 5/8,10.1,10.1,Aluminum Association,11.3,45,8,8,2.47,2.47,1.55,0.625,2.21,2.21
0.392,0.158,0.0477,0.0265,0.188,0.125,L 2 x 1 1/4 x 1/8,0.117,0.0492,Aluminum Association,0.46,21.87,1.25,2,0.635,0.349,0.26,0.125,0.281,0.649
0.688,0.199,0.083,0.0465,0.188,0.125,L 1 3/4 x 1 1/4 x 1/4,0.172,0.0921,Aluminum Association,0.81,26.09,1.25,1.75,0.537,0.347,0.26,0.25,0.349,0.596
0.53,0.211,0.0351,0.0223,0.188,0.125,L 2 x 1 x 3/16,0.166,0.0459,Aluminum Association,0.62,14.62,1,2,0.631,0.257,0.205,0.188,0.236,0.728
0.53,0.157,0.0659,0.0355,0.188,0.125,L 1 3/4 x 1 1/4 x 3/16,0.133,0.0713,Aluminum Association,0.62,26.61,1.25,1.75,0.544,0.353,0.259,0.188,0.326,0.572
0.751,0.291,0.0862,0.0515,0.188,0.125,L 2 x 1 1/4 x 1/4,0.224,0.0937,Aluminum Association,0.88,20.83,1.25,2,0.623,0.339,0.262,0.25,0.33,0.702
0.423,0.168,0.081,0.0407,0.188,0.125,L 2 x 1 1/2 x 1/8,0.12,0.071,Aluminum Association,0.5,29.38,1.5,2,0.63,0.438,0.31,0.125,0.36,0.605
0.813,0.311,0.148,0.0792,0.188,0.125,L 2 x 1 1/2 x 1/4,0.231,0.136,Aluminum Association,0.96,28.62,1.5,2,0.618,0.427,0.312,0.25,0.41,0.657
0.624,0.243,0.117,0.0606,0.188,0.125,L 2 x 1 1/2 x 3/16,0.178,0.105,Aluminum Association,0.73,29,1.5,2,0.625,0.433,0.312,0.188,0.386,0.633
1.17,0.428,0.202,0.116,0.188,0.125,L 2 x 1 1/2 x 3/8,0.33,0.193,Aluminum Association,1.38,27.74,1.5,2,0.604,0.415,0.314,0.375,0.455,0.704
11.5,68.9,68.9,27.5,0.625,0.375,L 8 x 8 x 3/4,12,12,Aluminum Association,13.5,45,8,8,2.45,2.45,1.55,0.75,2.26,2.26
0.882,0.328,0.233,0.109,0.25,0.125,L 2 x 1 3/4 x 1/4,0.237,0.185,Aluminum Association,1.04,36.91,1.75,2,0.61,0.514,0.352,0.25,0.494,0.617
0.882,0.435,0.153,0.0877,0.25,0.125,L 2 1/4 x 1 1/2 x 1/4,0.292,0.138,Aluminum Association,1.04,23.46,1.5,2.25,0.702,0.417,0.315,0.25,0.389,0.758
0.457,0.298,0.0515,0.032,0.188,0.094,L 2 1/2 x 1 1/4 x 1/8,0.182,0.0516,Aluminum Association,0.54,15.16,1.25,2.5,0.807,0.336,0.265,0.125,0.252,0.867
0.491,0.314,0.086,0.0492,0.25,0.125,L 2 1/2 x 1 1/2 x 1/8,0.186,0.0728,Aluminum Association,0.58,20.43,1.5,2.5,0.8,0.418,0.316,0.125,0.32,0.806
0.723,0.457,0.124,0.0727,0.25,0.125,L 2 1/2 x 1 1/2 x 3/16,0.275,0.108,Aluminum Association,0.85,20.07,1.5,2.5,0.794,0.414,0.317,0.188,0.347,0.838
0.944,0.586,0.158,0.0946,0.25,0.125,L 2 1/2 x 1 1/2 x 1/4,0.358,0.14,Aluminum Association,1.11,19.7,1.5,2.5,0.787,0.408,0.316,0.25,0.372,0.864
1.16,0.705,0.188,0.116,0.25,0.125,L 2 1/2 x 1 1/2 x 5/16,0.437,0.17,Aluminum Association,1.36,19.29,1.5,2.5,0.78,0.403,0.316,0.312,0.395,0.889
1.37,0.816,0.216,0.137,0.25,0.125,L 2 1/2 x 1 1/2 x 3/8,0.514,0.2,Aluminum Association,1.61,18.84,1.5,2.5,0.773,0.398,0.316,0.375,0.419,0.914
0.554,0.345,0.197,0.0955,0.25,0.125,L 2 1/2 x 2 x 1/8,0.194,0.129,Aluminum Association,0.65,32.51,2,2.5,0.789,0.596,0.415,0.125,0.478,0.722
1.07,0.646,0.366,0.185,0.25,0.125,L 2 1/2 x 2 x 1/4,0.375,0.249,Aluminum Association,1.26,32.09,2,2.5,0.778,0.585,0.416,0.25,0.531,0.778
0.817,0.503,0.286,0.142,0.25,0.125,L 2 1/2 x 2 x 3/16,0.288,0.191,Aluminum Association,0.96,32.3,2,2.5,0.784,0.592,0.416,0.188,0.506,0.752
1.31,0.78,0.44,0.226,0.25,0.125,L 2 1/2 x 2 x 5/16,0.459,0.304,Aluminum Association,1.54,31.85,2,2.5,0.77,0.579,0.415,0.312,0.555,0.802
1.55,0.905,0.509,0.267,0.25,0.125,L 2 1/2 x 2 x 3/8,0.541,0.358,Aluminum Association,1.83,31.59,2,2.5,0.763,0.572,0.415,0.375,0.578,0.826
1.08,0.98,0.165,0.106,0.312,0.125,L 3 x 1 1/2 x 1/4,0.51,0.142,Aluminum Association,1.27,14.59,1.5,3,0.954,0.391,0.313,0.25,0.343,1.08
0.91,0.821,0.292,0.158,0.312,0.188,L 3 x 2 x 3/16,0.4,0.19,Aluminum Association,1.07,24.25,2,3,0.949,0.567,0.416,0.188,0.459,0.947
1.19,1.06,0.377,0.209,0.312,0.188,L 3 x 2 x 1/4,0.526,0.249,Aluminum Association,1.4,23.95,2,3,0.944,0.562,0.418,0.25,0.485,0.976
1.47,1.29,0.456,0.257,0.312,0.188,L 3 x 2 x 5/16,0.647,0.306,Aluminum Association,1.73,23.64,2,3,0.938,0.557,0.419,0.312,0.51,1
1.74,1.51,0.529,0.305,0.312,0.188,L 3 x 2 x 3/8,0.765,0.361,Aluminum Association,2.05,23.32,2,3,0.931,0.551,0.419,0.375,0.534,1.03
2.26,1.9,0.659,0.399,0.312,0.188,L 3 x 2 x 1/2,0.987,0.464,Aluminum Association,2.65,22.61,2,3,0.918,0.541,0.421,0.5,0.58,1.08
1.31,1.12,0.704,0.323,0.312,0.25,L 3 x 2 1/2 x 1/4,0.532,0.38,Aluminum Association,1.54,34.65,2.5,3,0.927,0.734,0.497,0.25,0.647,0.893
1.61,1.37,0.859,0.404,0.312,0.25,L 3 x 2 1/2 x 5/16,0.659,0.47,Aluminum Association,1.9,34.45,2.5,3,0.922,0.73,0.5,0.312,0.672,0.919
1.92,1.61,1.01,0.484,0.312,0.25,L 3 x 2 1/2 x 3/8,0.782,0.557,Aluminum Association,2.25,34.25,2.5,3,0.916,0.724,0.503,0.375,0.697,0.944
1.57,1.85,1.25,0.562,0.375,0.25,L 3 1/2 x 3 x 1/4,0.742,0.559,Aluminum Association,1.84,36.17,3,3.5,1.09,0.893,0.599,0.25,0.767,1.01
1.93,2.26,1.53,0.701,0.375,0.25,L 3 1/2 x 3 x 5/16,0.918,0.692,Aluminum Association,2.27,36.04,3,3.5,1.08,0.888,0.602,0.312,0.793,1.04
2.3,2.66,1.79,0.838,0.375,0.25,L 3 1/2 x 3 x 3/8,1.09,0.822,Aluminum Association,2.71,35.9,3,3.5,1.08,0.883,0.603,0.375,0.819,1.07
3,3.39,2.28,1.1,0.375,0.25,L 3 1/2 x 3 x 1/2,1.42,1.07,Aluminum Association,3.53,35.63,3,3.5,1.06,0.871,0.605,0.5,0.867,1.11
1.69,2.69,1.3,0.651,0.375,0.25,L 4 x 3 x 1/4,0.963,0.568,Aluminum Association,1.99,29.39,3,4,1.26,0.875,0.62,0.25,0.719,1.21
2.49,3.88,1.86,0.967,0.375,0.25,L 4 x 3 x 3/8,1.42,0.836,Aluminum Association,2.93,29,3,4,1.25,0.865,0.624,0.375,0.771,1.27
2.09,3.29,1.59,0.81,0.375,0.25,L 4 x 3 x 5/16,1.19,0.703,Aluminum Association,2.46,29.19,3,4,1.26,0.871,0.623,0.312,0.746,1.24
2.23,3.41,2.43,1.06,0.375,0.312,L 4 x 3 1/2 x 5/16,1.2,0.938,Aluminum Association,2.62,37.33,3.5,4,1.24,1.04,0.691,0.312,0.913,1.16
3.99,5.96,2.82,1.56,0.375,0.25,L 4 x 3 x 5/8,2.26,1.32,Aluminum Association,4.69,28.2,3,4,1.22,0.841,0.625,0.625,0.866,1.36
3.25,4.97,2.37,1.27,0.375,0.25,L 4 x 3 x 1/2,1.85,1.09,Aluminum Association,3.83,28.62,3,4,1.24,0.853,0.624,0.5,0.819,1.31
2.88,4.44,2.13,1.12,0.375,0.25,L 4 x 3 x 7/16,1.64,0.964,Aluminum Association,3.38,28.81,3,4,1.24,0.859,0.624,0.438,0.796,1.29
2.85,7.17,1.95,1.12,0.375,0.312,L 5 x 3 x 3/8,2.16,0.843,Aluminum Association,3.35,20.31,3,5,1.59,0.827,0.626,0.375,0.692,1.68
2.66,4.03,2.87,1.28,0.375,0.312,L 4 x 3 1/2 x 3/8,1.43,1.12,Aluminum Association,3.13,37.22,3.5,4,1.23,1.04,0.694,0.375,0.94,1.19
2.55,6.39,2.59,1.35,0.438,0.312,5 x 3 1/2 x 5/16,1.86,0.965,Aluminum Association,3,26.32,3.5,5,1.58,1.01,0.728,0.312,0.819,1.56
3.49,5.18,3.68,1.7,0.375,0.312,L 4 x 3 1/2 x 1/2,1.88,1.46,Aluminum Association,4.1,37,3.5,4,1.22,1.03,0.698,0.5,0.989,1.24
3.74,9.26,2.49,1.47,0.375,0.312,L 5 x 3 x 1/2,2.83,1.1,Aluminum Association,4.4,19.86,3,5,1.57,0.816,0.628,0.5,0.742,1.73
1.93,4.9,1.34,0.739,0.375,0.312,L 5 x 3 x 1/4,1.45,0.567,Aluminum Association,2.26,20.79,3,5,1.6,0.834,0.62,0.25,0.639,1.62
4,9.79,3.93,2.14,0.438,0.312,5 x 3 1/2 x 1/2,2.91,1.51,Aluminum Association,4.7,25.78,3.5,5,1.56,0.991,0.732,0.5,0.895,1.64
2.39,6.05,1.65,0.93,0.375,0.312,L 5 x 3 x 5/16,1.81,0.706,Aluminum Association,2.81,20.54,3,5,1.59,0.831,0.624,0.312,0.666,1.65
3.05,7.58,3.06,1.63,0.438,0.312,5 x 3 1/2 x 3/8,2.22,1.15,Aluminum Association,3.58,26.13,3.5,5,1.58,1,0.731,0.375,0.846,1.59
4.92,11.8,4.72,2.64,0.438,0.312,5 x 3 1/2 x 5/8,3.57,1.84,Aluminum Association,5.79,25.41,3.5,5,1.55,0.979,0.733,0.625,0.943,1.69
3.23,11.8,1.99,1.21,0.5,0.375,6 x 3 x 3/8,3.03,0.842,Aluminum Association,3.8,15.24,3,6,1.91,0.786,0.612,0.375,0.63,2.11
2.88,10.6,2.71,1.56,0.5,0.312,6 x 3 1/2 x 5/16,2.64,0.985,Aluminum Association,3.39,19.61,3.5,6,1.92,0.971,0.736,0.312,0.746,1.97
3.43,12.6,3.21,1.87,0.5,0.312,6 x 3 1/2 x 3/8,3.16,1.18,Aluminum Association,4.04,19.43,3.5,6,1.92,0.967,0.738,0.375,0.773,2
5.56,19.8,4.96,3.02,0.5,0.312,6 x 3 1/2 x 5/8,5.1,1.89,Aluminum Association,6.54,18.75,3.5,6,1.89,0.944,0.737,0.625,0.872,2.11
4.51,16.4,4.12,2.46,0.5,0.312,6 x 3 1/2 x 1/2,4.15,1.54,Aluminum Association,5.31,19.1,3.5,6,1.9,0.956,0.738,0.5,0.823,2.06
3.6,13,4.66,2.5,0.5,0.375,6 x 4 x 3/8,3.19,1.51,Aluminum Association,4.24,24.33,4,6,1.9,1.14,0.834,0.375,0.92,1.91
5.85,20.7,7.3,4.12,0.5,0.375,6 x 4 x 5/8,5.18,2.45,Aluminum Association,6.88,23.68,4,6,1.88,1.12,0.839,0.625,1.02,2.01
5.24,26.1,6.28,3.71,0.5,0.375,7 x 4 x 1/2,5.66,2.03,Aluminum Association,6.17,18.7,4,7,2.23,1.09,0.842,0.5,0.903,2.39
4.18,15.1,5.37,2.92,0.5,0.375,6 x 4 x 7/16,3.7,1.76,Aluminum Association,4.92,24.16,4,6,1.9,1.13,0.836,0.438,0.947,1.93
6.93,24.1,8.46,4.88,0.5,0.375,6 x 4 x 3/4,6.12,2.89,Aluminum Association,8.15,23.35,4,6,1.87,1.1,0.839,0.75,1.07,2.06
4.74,17,6.03,3.33,0.5,0.375,6 x 4 x 1/2,4.2,1.99,Aluminum Association,5.58,24,4,6,1.89,1.13,0.838,0.5,0.972,1.96
8.37,53.6,26,13.6,0.5,0.312,8 x 6 x 5/8,9.74,5.78,Aluminum Association,9.84,29.07,6,8,2.53,1.76,1.275,0.625,1.51,2.5
9.15,58.1,28,14.7,0.5,0.375,8 x 6 x 11/16,10.6,6.27,Aluminum Association,10.8,29.03,6,8,2.52,1.75,1.266,0.688,1.53,2.52
9.93,62.6,30.2,15.9,0.5,0.375,8 x 6 x 3/4,11.5,6.79,Aluminum Association,11.7,28.94,6,8,2.51,1.74,1.265,0.75,1.55,2.55
