A,I,ID,J,OD,Rb_t,S,Size,W,Z,r,t
5.3,30.2,6.5,60.4,7,13.5,8.64,HSS 7 x 0.25,6.23,11.4,2.39,0.25
18.8,87.2,5,170,7,3,24.9,HSS 7 x 1,22.2,36.3,2.15,1
5.69,37.5,7,74.8,7.5,14.5,9.99,HSS 7.5 x 0.25,6.7,13.1,2.56,0.25
10.2,54.2,6,108,7,6.5,15.5,HSS 7 x 0.5,12,21.2,2.3,0.5
11,67.7,6.5,135,7.5,7,18.1,HSS 7.5 x 0.5,12.9,24.5,2.48,0.5
6.09,45.7,7.5,91.4,8,15.5,11.4,HSS 8 x 0.25,7.16,15,2.74,0.25
3.09,24,7.75,47.9,8,31.5,5.99,HSS 8 x 0.125,3.64,7.75,2.78,0.125
8.39,53.4,6.75,107,7.5,9.5,14.2,HSS 7.5 x 0.375,9.87,19.1,2.52,0.375
8.98,65.4,7.25,131,8,10.2,16.4,HSS 8 x 0.375,10.6,21.8,2.7,0.375
14.5,99.2,6.75,197,8,5.9,24.8,HSS 8 x 0.625,17,34.1,2.62,0.625
11.8,83.2,7,166,8,7.5,20.8,HSS 8 x 0.5,13.9,28.2,2.66,0.5
17.1,113,6.5,224,8,4.8,28.4,HSS 8 x 0.75,20.1,39.6,2.58,0.75
22,137,6,269,8,3.5,34.4,HSS 8 x 1,25.9,49.3,2.5,1
14.7,72.9,5.5,144,7,4.2,20.8,HSS 7 x 0.75,17.3,29.4,2.23,0.75
6.48,55.2,8,110,8.5,16.5,13,HSS 8.5 x 0.25,7.62,17,2.92,0.25
6.87,65.8,8.5,132,9,17.5,14.6,HSS 9 x 0.25,8.08,19.1,3.09,0.25
13.4,121,8,241,9,8.5,26.9,HSS 9 x 0.5,15.7,36.2,3.01,0.5
7.66,91.1,9.5,182,10,19.5,18.2,HSS 10 x 0.25,9.01,23.8,3.45,0.25
11.3,132,9.25,263,10,12.8,26.3,HSS 10 x 0.375,13.3,34.8,3.41,0.375
14.9,169,9,337,10,9.5,33.8,HSS 10 x 0.5,17.5,45.2,3.36,0.5
18.4,203,8.75,404,10,7.5,40.6,HSS 10 x 0.625,21.6,55,3.32,0.625
21.8,235,8.5,466,10,6.2,46.9,HSS 10 x 0.75,25.6,64.3,3.28,0.75
8.05,106,10,211,10.5,20.5,20.1,HSS 10.5 x 0.25,9.47,26.3,3.63,0.25
28.3,290,8,573,10,4.5,58,HSS 10 x 1,33.3,81.3,3.2,1
11.9,153,9.75,306,10.5,13.5,29.2,HSS 10.5 x 0.375,14,38.5,3.58,0.375
15.7,197,9.5,393,10.5,10,37.5,HSS 10.5 x 0.5,18.5,50,3.54,0.5
23,275,9,546,10.5,6.5,52.3,HSS 10.5 x 0.75,27,71.4,3.46,0.75
16.5,228,10,455,11,10.5,41.4,HSS 11 x 0.5,19.4,55.2,3.72,0.5
12.5,177,10.25,353,11,14.2,32.2,HSS 11 x 0.375,14.7,42.4,3.76,0.375
24.2,319,9.5,634,11,6.8,58,HSS 11 x 0.75,28.4,78.9,3.63,0.75
10.2,94.7,8.25,189,9,11.5,21,HSS 9 x 0.375,11.9,27.9,3.05,0.375
31.4,397,9,785,11,5,72.1,HSS 11 x 1,36.9,100,3.55,1
9.23,159,11.5,319,12,23.5,26.6,HSS 12 x 0.25,10.9,34.5,4.16,0.25
13.7,232,11.25,463,12,15.5,38.6,HSS 12 x 0.375,16.1,50.7,4.11,0.375
18.1,299,11,597,12,11.5,49.9,HSS 12 x 0.5,21.2,66.2,4.07,0.5
26.5,421,10.5,839,12,7.5,70.2,HSS 12 x 0.75,31.2,95.1,3.99,0.75
34.6,527,10,1045,12,5.5,87.8,HSS 12 x 1,40.6,121,3.91,1
0.072,0.0011,0.269,0.00204,0.405,2.48,0.0053,PIPE 1/8 Sched 40,0.085,0.00783,0.122,0.068
0.0925,0.0012,0.215,0.00222,0.405,1.63,0.006,PIPE 1/8 Sched 80,0.109,0.00942,0.115,0.095
0.125,0.0033,0.364,0.00638,0.54,2.57,0.012,PIPE 1/4 Sched 40,0.147,0.0182,0.163,0.088
0.157,0.0038,0.302,0.00697,0.54,1.77,0.014,PIPE 1/4 Sched 80,0.185,0.0217,0.155,0.119
0.217,0.0086,0.423,0.0164,0.675,2.18,0.026,PIPE 3/8 Sched 80,0.256,0.0386,0.199,0.126
0.158,0.012,0.71,0.0238,0.84,5.96,0.028,PIPE 1/2 Sched 5,0.186,0.0391,0.275,0.065
0.167,0.0073,0.493,0.0142,0.675,3.21,0.022,PIPE 3/8 Sched 40,0.196,0.0313,0.209,0.091
0.197,0.014,0.674,0.0283,0.84,4.56,0.034,PIPE 1/2 Sched 10,0.232,0.0478,0.269,0.083
0.25,0.017,0.622,0.0334,0.84,3.35,0.041,PIPE 1/2 Sched 40,0.294,0.0587,0.261,0.109
0.32,0.02,0.546,0.0384,0.84,2.36,0.048,PIPE 1/2 Sched 80,0.376,0.0717,0.25,0.147
0.385,0.022,0.464,0.0409,0.84,1.73,0.053,PIPE 1/2 Sched 160,0.453,0.0821,0.24,0.188
0.201,0.025,0.92,0.0488,1.05,7.58,0.047,PIPE 3/4 Sched 5,0.237,0.0632,0.349,0.065
0.252,0.03,0.884,0.0589,1.05,5.83,0.057,PIPE 3/4 Sched 10,0.297,0.0778,0.343,0.083
0.333,0.037,0.824,0.073,1.05,4.15,0.071,PIPE 3/4 Sched 40,0.391,0.0997,0.334,0.113
0.433,0.045,0.742,0.087,1.05,2.91,0.085,PIPE 3/4 Sched 80,0.51,0.125,0.321,0.154
0.572,0.053,0.612,0.0987,1.05,1.9,0.101,PIPE 3/4 Sched 160,0.672,0.155,0.304,0.219
0.255,0.05,1.185,0.1,1.315,9.62,0.076,PIPE 1 Sched 5,0.3,0.102,0.443,0.065
0.494,0.087,1.049,0.173,1.315,4.44,0.133,PIPE 1 Sched 40,0.581,0.187,0.421,0.133
0.413,0.076,1.097,0.15,1.315,5.53,0.115,PIPE 1 Sched 10,0.486,0.159,0.428,0.109
0.639,0.106,0.957,0.206,1.315,3.17,0.161,PIPE 1 Sched 80,0.751,0.233,0.407,0.179
0.836,0.125,0.815,0.237,1.315,2.13,0.19,PIPE 1 Sched 160,0.984,0.289,0.387,0.25
0.326,0.104,1.53,0.207,1.66,12.3,0.125,PIPE 1.25 Sched 5,0.383,0.165,0.564,0.065
0.531,0.16,1.442,0.319,1.66,7.11,0.193,PIPE 1.25 Sched 10,0.625,0.263,0.55,0.109
0.669,0.195,1.38,0.386,1.66,5.43,0.235,PIPE 1.25 Sched 40,0.786,0.324,0.54,0.14
0.881,0.242,1.278,0.476,1.66,3.85,0.291,PIPE 1.25 Sched 80,1.04,0.414,0.524,0.191
1.11,0.284,1.16,0.55,1.66,2.82,0.342,PIPE 1.25 Sched 160,1.3,0.502,0.506,0.25
0.375,0.158,1.77,0.315,1.9,14.1,0.166,PIPE 1.5 Sched 5,0.441,0.219,0.649,0.065
0.613,0.247,1.682,0.492,1.9,8.2,0.26,PIPE 1.5 Sched 10,0.721,0.35,0.634,0.109
0.799,0.31,1.61,0.616,1.9,6.1,0.326,PIPE 1.5 Sched 40,0.94,0.448,0.623,0.145
1.07,0.391,1.5,0.772,1.9,4.3,0.412,PIPE 1.5 Sched 80,1.26,0.581,0.605,0.2
1.43,0.482,1.338,0.937,1.9,2.9,0.508,PIPE 1.5 Sched 160,1.68,0.744,0.581,0.281
0.472,0.315,2.245,0.629,2.375,17.8,0.265,PIPE 2 Sched 5,0.555,0.347,0.817,0.065
1.07,0.666,2.067,1.33,2.375,7.2,0.561,PIPE 2 Sched 40,1.26,0.761,0.787,0.154
1.48,0.868,1.939,1.72,2.375,4.9,0.731,PIPE 2 Sched 80,1.74,1.02,0.766,0.218
2.19,1.16,1.687,2.26,2.375,3,0.98,PIPE 2 Sched 160,2.58,1.43,0.728,0.344
0.776,0.499,2.157,1,2.375,10.4,0.42,PIPE 2 Sched 10,0.913,0.56,0.802,0.109
0.728,0.71,2.709,1.42,2.875,16.8,0.494,PIPE 2.5 Sched 5,0.856,0.647,0.988,0.083
1.04,0.987,2.635,1.97,2.875,11.5,0.687,PIPE 2.5 Sched 10,1.22,0.911,0.975,0.12
1.7,1.53,2.469,3.04,2.875,6.6,1.06,PIPE 2.5 Sched 40,2,1.45,0.947,0.203
2.95,2.35,2.125,4.6,2.875,3.3,1.64,PIPE 2.5 Sched 160,3.46,2.36,0.894,0.375
2.25,1.92,2.323,3.81,2.875,4.7,1.34,PIPE 2.5 Sched 80,2.65,1.87,0.924,0.276
0.891,1.3,3.334,2.6,3.5,20.6,0.744,PIPE 3 Sched 5,1.05,0.969,1.21,0.083
1.27,1.82,3.26,3.64,3.5,14.1,1.04,PIPE 3 Sched 10,1.5,1.37,1.2,0.12
2.23,3.02,3.068,6.01,3.5,7.6,1.72,PIPE 3 Sched 40,2.62,2.33,1.16,0.216
3.02,3.89,2.9,7.72,3.5,5.3,2.23,PIPE 3 Sched 80,3.55,3.08,1.14,0.3
4.21,5.04,2.624,9.88,3.5,3.5,2.88,PIPE 3 Sched 160,4.95,4.13,1.09,0.438
1.46,2.76,3.76,5.51,4,16.2,1.38,PIPE 3.5 Sched 10,1.72,1.81,1.37,0.12
1.02,1.96,3.834,3.92,4,23.6,0.98,PIPE 3.5 Sched 5,1.2,1.27,1.39,0.083
2.68,4.79,3.548,9.54,4,8.3,2.39,PIPE 3.5 Sched 40,3.15,3.22,1.34,0.226
3.68,6.28,3.364,12.5,4,5.8,3.14,PIPE 3.5 Sched 80,4.33,4.32,1.31,0.318
1.15,2.81,4.334,5.62,4.5,26.6,1.25,PIPE 4 Sched 5,1.35,1.62,1.56,0.083
4.41,9.61,3.826,19.1,4.5,6.2,4.27,PIPE 4 Sched 80,5.18,5.85,1.48,0.337
3.17,7.23,4.026,14.4,4.5,9,3.21,PIPE 4 Sched 40,3.73,4.31,1.51,0.237
1.65,3.96,4.26,7.92,4.5,18.3,1.76,PIPE 4 Sched 10,1.94,2.3,1.55,0.12
6.62,13.3,3.438,26.1,4.5,3.7,5.9,PIPE 4 Sched 160,7.79,8.41,1.42,0.531
5.59,11.7,3.624,23.1,4.5,4.6,5.18,PIPE 4 Sched 120,6.57,7.25,1.44,0.438
1.87,6.95,5.345,13.9,5.563,25,2.5,PIPE 5 Sched 5,2.2,3.24,1.93,0.109
2.29,8.43,5.295,16.8,5.563,20.3,3.03,PIPE 5 Sched 10,2.69,3.95,1.92,0.134
7.95,25.7,4.563,51,5.563,5.1,9.25,PIPE 5 Sched 120,9.35,12.9,1.8,0.5
4.3,15.2,5.047,30.3,5.563,10.3,5.45,PIPE 5 Sched 40,5.06,7.27,1.88,0.258
9.7,30,4.313,59.1,5.563,4,10.8,PIPE 5 Sched 160,11.4,15.3,1.76,0.625
2.23,11.8,6.407,23.7,6.625,29.9,3.58,PIPE 6 Sched 5,2.62,4.63,2.3,0.109
6.11,20.7,4.813,41.1,5.563,6.9,7.43,PIPE 5 Sched 80,7.19,10.1,1.84,0.375
2.73,14.4,6.357,28.8,6.625,24.2,4.35,PIPE 6 Sched 10,3.21,5.65,2.3,0.134
8.4,40.5,5.761,80.6,6.625,7.2,12.2,PIPE 6 Sched 80,9.88,16.6,2.19,0.432
10.7,49.6,5.501,98.4,6.625,5.4,15,PIPE 6 Sched 120,12.6,20.7,2.15,0.562
5.58,28.1,6.065,56.2,6.625,11.3,8.5,PIPE 6 Sched 40,6.56,11.3,2.25,0.28
13.3,59,5.187,116,6.625,4.1,17.8,PIPE 6 Sched 160,15.7,25.2,2.1,0.719
2.92,26.4,8.407,52.9,8.625,39.1,6.13,PIPE 8 Sched 5,3.43,7.91,3.01,0.109
3.94,35.4,8.329,70.8,8.625,28.6,8.21,PIPE 8 Sched 10,4.64,10.6,3,0.148
6.58,57.7,8.125,115,8.625,16.8,13.4,PIPE 8 Sched 20,7.74,17.5,2.96,0.25
7.26,63.4,8.071,127,8.625,15.1,14.7,PIPE 8 Sched 30,8.54,19.3,2.95,0.277
8.4,72.5,7.981,145,8.625,12.9,16.8,PIPE 8 Sched 40,9.88,22.2,2.94,0.322
10.5,88.7,7.813,177,8.625,10.1,20.6,PIPE 8 Sched 60,12.3,27.4,2.91,0.406
12.8,106,7.625,211,8.625,8.1,24.5,PIPE 8 Sched 80,15,33,2.88,0.5
17.9,141,7.187,279,8.625,5.5,32.6,PIPE 8 Sched 120,21,45.1,2.81,0.719
22,166,6.813,327,8.625,4.3,38.5,PIPE 8 Sched 160,25.8,54.2,2.75,0.906
4.47,63,10.482,126,10.75,39.6,11.7,PIPE 10 Sched 5,5.26,15.1,3.75,0.134
5.49,76.9,10.42,154,10.75,32.1,14.3,PIPE 10 Sched 10,6.45,18.5,3.74,0.165
19.9,154,7.001,304,8.625,4.8,35.6,PIPE 8 Sched 140,23.4,49.7,2.78,0.812
8.25,114,10.25,227,10.75,21,21.2,PIPE 10 Sched 20,9.7,27.6,3.71,0.25
10.1,137,10.136,275,10.75,17,25.6,PIPE 10 Sched 30,11.8,33.5,3.69,0.307
15,121,7.437,242,8.625,6.8,28.2,PIPE 8 Sched 100,17.6,38.4,2.85,0.594
16.1,212,9.75,423,10.75,10.3,39.4,PIPE 10 Sched 60,18.9,52.6,3.63,0.5
11.9,161,10.02,321,10.75,14.2,29.9,PIPE 10 Sched 40,14,39.4,3.67,0.365
19,245,9.562,489,10.75,8.5,45.6,PIPE 10 Sched 80,22.3,61.3,3.6,0.594
22.7,286,9.312,570,10.75,7,53.3,PIPE 10 Sched 100,26.6,72.5,3.56,0.719
6.17,122,12.438,245,12.75,40.4,19.2,PIPE 12 Sched 5,7.26,24.7,4.45,0.156
7.11,140,12.39,281,12.75,34.9,22,PIPE 12 Sched 10,8.36,28.4,4.44,0.18
9.82,192,12.25,383,12.75,25,30.1,PIPE 12 Sched 20,11.5,39.1,4.42,0.25
12.9,248,12.09,497,12.75,18.8,39,PIPE 12 Sched 30,15.1,50.9,4.39,0.33
15.7,300,11.938,600,12.75,15.2,47.1,PIPE 12 Sched 40,18.5,61.9,4.37,0.406
21.5,400,11.626,799,12.75,10.8,62.8,PIPE 12 Sched 60,25.3,83.5,4.31,0.562
26.1,476,11.374,948,12.75,8.8,74.6,PIPE 12 Sched 80,30.7,100,4.27,0.688
